# {"t_start": 1562210964.485334, "env_id": "HalfCheetah-v2"} 
r,l,t
-32.280964,1000,3.748555
-57.018422,1000,4.340691
13.106533,1000,6.89862
-102.966975,1000,7.493845
-331.31521,1000,8.866478
-45.275286,1000,9.457728
-90.971971,1000,10.776633
37.478507,1000,11.37138
22.188321,1000,12.699808
-93.321099,1000,13.296609
-0.250828,1000,14.606861
46.204603,1000,15.202359
-0.74389,1000,16.528348
-20.717283,1000,17.123316
-18.872262,1000,18.473855
15.139083,1000,19.071793
69.46701,1000,20.393204
-34.205297,1000,20.987187
44.68993,1000,22.306864
-70.781137,1000,22.900025
182.55062,1000,24.23785
-26.589966,1000,24.836852
12.590983,1000,26.181971
165.339401,1000,26.778236
115.188867,1000,28.126526
-10.347015,1000,28.721044
33.689321,1000,30.065265
-43.053215,1000,30.658609
113.485923,1000,32.038668
4.301687,1000,32.632877
-27.657985,1000,33.941855
-11.879111,1000,34.53666
-14.551826,1000,35.888772
0.310631,1000,36.484144
12.261068,1000,37.841067
44.808402,1000,38.437044
-99.110705,1000,39.816841
61.871484,1000,40.410676
-32.81303,1000,41.73915
25.57904,1000,42.333151
74.78745,1000,43.654129
278.402258,1000,44.251519
48.725714,1000,44.851848
39.787995,1000,46.180637
22.691609,1000,46.774886
148.138594,1000,48.140172
86.75109,1000,48.735684
121.377112,1000,50.085576
27.961711,1000,50.681004
30.361797,1000,52.015229
-13.642675,1000,52.609731
62.461675,1000,53.953912
233.623484,1000,54.550584
41.767088,1000,55.88896
-3.457027,1000,56.484891
192.362246,1000,57.811131
141.188988,1000,58.411732
249.586331,1000,59.762427
35.229547,1000,60.358538
136.511338,1000,61.71526
73.248704,1000,62.315059
10.545159,1000,63.63451
209.357768,1000,64.232378
146.494081,1000,65.550815
62.004455,1000,66.145166
22.092,1000,67.465589
67.130243,1000,68.062354
206.054773,1000,69.37292
40.502202,1000,69.969985
62.857784,1000,71.320395
260.604682,1000,71.917206
195.177486,1000,73.255306
137.393478,1000,73.851943
40.979206,1000,75.189383
187.977916,1000,75.785727
208.875502,1000,77.1413
265.762308,1000,77.738938
159.922096,1000,79.10009
68.268773,1000,79.695211
120.443862,1000,81.002059
171.178849,1000,81.59522
63.204452,1000,82.950225
178.430544,1000,83.54614
311.487812,1000,84.902982
14.079727,1000,85.497351
164.383587,1000,86.093644
35.647765,1000,87.43165
182.363837,1000,88.030176
214.472,1000,89.376918
284.887475,1000,89.973008
193.950164,1000,91.326984
171.530941,1000,91.92408
73.455678,1000,93.275246
186.934807,1000,93.871181
199.698647,1000,95.178751
163.29811,1000,95.778909
252.923966,1000,97.084509
113.125476,1000,97.680283
55.634045,1000,99.023839
251.652927,1000,99.624728
239.791394,1000,100.96364
-12.911285,1000,101.560541
172.410267,1000,102.907775
225.498207,1000,103.503928
178.156403,1000,104.863433
347.173074,1000,105.463807
224.352968,1000,106.79357
250.960714,1000,107.392041
204.209237,1000,108.718043
203.36872,1000,109.316378
283.185194,1000,110.650279
151.775793,1000,111.248917
267.573363,1000,112.591806
174.493057,1000,113.191893
187.458693,1000,114.539345
237.150481,1000,115.138343
316.038815,1000,116.453365
277.177857,1000,117.050483
274.869682,1000,118.404797
192.066237,1000,119.007134
246.160632,1000,120.394594
302.790718,1000,120.995215
219.062532,1000,122.332082
52.729962,1000,122.929816
248.547514,1000,124.267035
251.127469,1000,124.866836
249.306092,1000,126.195315
224.289132,1000,126.795865
263.597181,1000,127.396399
375.440832,1000,128.745524
340.391054,1000,129.343157
88.729311,1000,130.673742
262.744027,1000,131.274514
282.401942,1000,132.59682
342.545026,1000,133.196566
358.874232,1000,134.524685
275.932313,1000,135.123771
369.863341,1000,136.45885
328.699268,1000,137.057972
347.987555,1000,138.400283
237.844606,1000,139.006949
201.521711,1000,140.341513
316.444374,1000,140.941288
357.783628,1000,142.278939
324.658746,1000,142.877056
300.067319,1000,144.225749
404.530591,1000,144.824016
181.933847,1000,146.162443
260.734203,1000,146.758171
363.520049,1000,148.083795
434.334649,1000,148.680652
302.861153,1000,150.000427
367.765191,1000,150.602525
393.582789,1000,151.939444
446.628004,1000,152.536834
406.260047,1000,153.878684
