AverageReturn,Entropy,EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,ev_tdlam_before,meankl,optimgain,surrgain
-22.712545,8.479028,1000.0,-22.712545,2,2,2.569260835647583,2000,0.0,-0.008322000503540039,0.008899074,0.035117246,0.035117246
-40.14196,8.444116,1000.0,-40.14196,2,4,4.182934045791626,4000,0.0,0.11044889688491821,0.008829765,0.03840424,0.03840424
-34.866817,8.409202,1000.0,-34.866817,2,6,5.754873991012573,6000,0.0,0.08799159526824951,0.009022607,0.040999003,0.040999003
-19.196472,8.374297,1000.0,-19.196472,2,8,7.343948125839233,8000,0.0,0.36062365770339966,0.008919955,0.03917987,0.03917987
-23.690819,8.339607,1000.0,-23.690819,2,10,8.942208051681519,10000,0.0,0.3700031638145447,0.008761573,0.03876192,0.03876192
-16.849379,8.304688,1000.0,-16.849379,2,12,10.52465271949768,12000,0.0,0.4418181777000427,0.0089868475,0.04412823,0.04412823
-21.246538,8.269782,1000.0,-21.246538,2,14,12.10483694076538,14000,0.0,0.32669490575790405,0.008976029,0.04243993,0.04243993
-27.568295,8.234952,1000.0,-27.568295,2,16,13.690277814865112,16000,0.0,0.28331345319747925,0.008884333,0.042355172,0.042355172
-22.644493,8.199224,1000.0,-22.644493,2,18,15.274454116821289,18000,0.0,0.4863119125366211,0.009025967,0.049568385,0.049568385
-23.35289,8.164398,1000.0,-23.35289,2,20,16.87960982322693,20000,0.0,0.23635119199752808,0.009222402,0.043658614,0.043658614
-19.496403,8.12977,1000.0,-19.496403,2,22,18.482455730438232,22000,0.0,0.48529571294784546,0.009042299,0.045921974,0.045921974
-16.337568,8.094857,1000.0,-16.337568,2,24,20.081358909606934,24000,0.0,0.44509363174438477,0.008949074,0.04479571,0.04479571
-12.003141,8.060034,1000.0,-12.003141,2,26,21.68379807472229,26000,0.0,0.5414572656154633,0.009178452,0.047507297,0.047507297
-13.055675,8.024897,1000.0,-13.055675,2,28,23.281657934188843,28000,0.0,0.3317086696624756,0.009054352,0.053789474,0.053789474
-11.786893,7.9899974,1000.0,-11.786893,2,30,24.8674738407135,30000,0.0,0.3625606894493103,0.008923564,0.052311465,0.052311465
-10.36348,7.9551024,1000.0,-10.36348,2,32,26.452728748321533,32000,0.0,0.45771849155426025,0.00921632,0.05140824,0.05140824
-6.535709,7.9201665,1000.0,-6.535709,2,34,28.05584478378296,34000,0.0,0.45691829919815063,0.009041887,0.050865166,0.050865166
-4.2542796,7.885035,1000.0,-4.2542796,2,36,29.662640810012817,36000,0.0,0.5445069074630737,0.00901597,0.057240598,0.057240598
-6.4803934,7.8501225,1000.0,-6.4803934,2,38,31.242775917053223,38000,0.0,0.25718724727630615,0.00891785,0.05472926,0.05472926
-7.5990725,7.815215,1000.0,-7.5990725,2,40,32.80037593841553,40000,0.0,0.332516074180603,0.00905317,0.05424445,0.05424445
-0.11312942,7.7803717,1000.0,-0.11312942,3,43,34.378522872924805,43000,0.0,-0.038487911224365234,0.008820927,0.061939467,0.061939467
2.3967469,7.744881,1000.0,2.3967469,2,45,35.95488095283508,45000,0.0,0.2411157488822937,0.009042356,0.055817448,0.055817448
6.046637,7.709967,1000.0,6.046637,2,47,37.54014992713928,47000,0.0,0.19044458866119385,0.008875031,0.061326515,0.061326515
11.241575,7.6750555,1000.0,11.241575,2,49,39.15359807014465,49000,0.0,0.27519017457962036,0.009106262,0.06850851,0.06850851
12.973844,7.6401625,1000.0,12.973844,2,51,40.74298095703125,51000,0.0,-0.10767078399658203,0.009098564,0.05509082,0.05509082
16.68771,7.6052504,1000.0,16.68771,2,53,42.308674812316895,53000,0.0,0.30418670177459717,0.008821767,0.0653982,0.0653982
24.692163,7.5703144,1000.0,24.692163,2,55,43.92107391357422,55000,0.0,-0.08294892311096191,0.009079229,0.055500202,0.055500202
28.485195,7.5353746,1000.0,28.485195,2,57,45.48252081871033,57000,0.0,0.2101495862007141,0.008835859,0.06207651,0.06207651
30.319437,7.500488,1000.0,30.319437,2,59,47.07752776145935,59000,0.0,0.023451030254364014,0.008644089,0.053598106,0.053598106
31.45817,7.465578,1000.0,31.45817,2,61,48.67324185371399,61000,0.0,0.19932341575622559,0.008804032,0.05790235,0.05790235
31.83109,7.4306335,1000.0,31.83109,2,63,50.253376960754395,63000,0.0,-0.2268451452255249,0.008694576,0.06585848,0.06585848
36.539295,7.3955326,1000.0,36.539295,2,65,51.83072805404663,65000,0.0,0.16685819625854492,0.008797348,0.058586847,0.058586847
37.698986,7.360345,1000.0,37.698986,2,67,53.41057991981506,67000,0.0,0.3308226466178894,0.008965176,0.060866464,0.060866464
42.262627,7.325562,1000.0,42.262627,2,69,54.993815898895264,69000,0.0,-0.11081469058990479,0.009063309,0.056332957,0.056332957
49.761314,7.2905602,1000.0,49.761314,2,71,56.576377868652344,71000,0.0,0.1254880428314209,0.0092045115,0.060669042,0.060669042
51.581947,7.255647,1000.0,51.581947,2,73,58.15044093132019,73000,0.0,0.24716705083847046,0.009131689,0.06282084,0.06282084
57.702007,7.2207346,1000.0,57.702007,2,75,59.697376012802124,75000,0.0,0.148776113986969,0.008917091,0.05957266,0.05957266
63.64148,7.1857996,1000.0,63.64148,2,77,61.28087401390076,77000,0.0,0.26712721586227417,0.009023438,0.0651539,0.0651539
79.01439,7.1507845,1000.0,79.01439,2,79,62.854828119277954,79000,0.0,0.25596892833709717,0.009025704,0.06564741,0.06564741
85.47735,7.115725,1000.0,85.47735,2,81,64.438884973526,81000,0.0,0.28473806381225586,0.008916622,0.06606977,0.06606977
89.66807,7.0807147,1000.0,89.66807,2,83,66.04790496826172,83000,0.0,0.25634342432022095,0.008950441,0.06181304,0.06181304
103.42418,7.0448084,1000.0,103.42418,3,86,67.62283611297607,86000,0.0,0.4427330493927002,0.008956589,0.05984633,0.05984633
108.003136,7.0098944,1000.0,108.003136,2,88,69.23339200019836,88000,0.0,-0.0028721094131469727,0.008959436,0.062082596,0.062082596
114.59255,6.974765,1000.0,114.59255,2,90,70.79001188278198,90000,0.0,0.49704277515411377,0.008860767,0.06393078,0.06393078
126.5627,6.939941,1000.0,126.5627,2,92,72.36172795295715,92000,0.0,0.47030872106552124,0.008965835,0.06790808,0.06790808
133.73708,6.905029,1000.0,133.73708,2,94,73.92825198173523,94000,0.0,0.48791879415512085,0.009108774,0.06905495,0.06905495
143.11752,6.8697777,1000.0,143.11752,2,96,75.5003879070282,96000,0.0,0.4415176510810852,0.008910185,0.06710925,0.06710925
151.09529,6.834752,1000.0,151.09529,2,98,77.08716177940369,98000,0.0,0.5043125450611115,0.008862779,0.07192286,0.07192286
