# {"t_start": 1562207685.272661, "env_id": "HalfCheetah-v2"} 
r,l,t
-36.118048,1000,2.702297
-165.964455,1000,3.260494
83.794477,1000,5.110589
8.596096,1000,5.667659
91.127496,1000,6.659255
43.751861,1000,7.215594
-38.057405,1000,8.194441
-78.594151,1000,8.751054
14.654223,1000,9.745938
-74.601926,1000,10.30225
-22.933966,1000,11.290673
15.705212,1000,11.851194
38.688056,1000,12.835417
57.171656,1000,13.394696
-10.692956,1000,14.388786
0.72791,1000,14.947341
31.826901,1000,15.940578
27.780078,1000,16.498725
-6.967012,1000,17.47877
-48.889853,1000,18.034815
37.387618,1000,19.000905
52.438025,1000,19.560294
56.07785,1000,20.58285
10.651865,1000,21.140408
67.632667,1000,22.145054
70.361723,1000,22.704765
0.636315,1000,23.690527
27.809297,1000,24.2672
14.885506,1000,25.258148
-29.359408,1000,25.817136
15.421869,1000,26.822397
-62.375262,1000,27.393731
46.911402,1000,28.387713
112.898473,1000,28.947875
70.04217,1000,29.959588
56.98681,1000,30.527963
58.332115,1000,31.494168
51.144276,1000,32.055429
38.755644,1000,33.04091
138.367532,1000,33.601086
107.233542,1000,34.595005
54.582556,1000,35.154847
98.155044,1000,35.714132
134.308591,1000,36.691642
118.536024,1000,37.248261
89.072934,1000,38.233754
46.578177,1000,38.793184
114.826968,1000,39.770689
96.562643,1000,40.326898
87.468568,1000,41.325119
132.197581,1000,41.879993
120.341379,1000,42.918776
86.86693,1000,43.478086
147.7654,1000,44.458347
91.153485,1000,45.0146
138.103495,1000,45.996739
140.259319,1000,46.559809
165.168261,1000,47.547217
114.268695,1000,48.128295
163.779706,1000,49.107745
129.929289,1000,49.667565
129.012395,1000,50.729116
173.674154,1000,51.289844
123.399394,1000,52.280617
123.891334,1000,52.838485
152.292588,1000,53.824563
157.025437,1000,54.382659
162.797204,1000,55.373635
165.57141,1000,55.928576
203.172341,1000,56.920979
235.271103,1000,57.492294
157.581815,1000,58.477381
167.400742,1000,59.03426
153.728358,1000,60.041457
168.837116,1000,60.601508
187.765782,1000,61.591626
210.561612,1000,62.150727
224.616194,1000,63.106089
245.363326,1000,63.664701
229.325208,1000,64.651083
230.190228,1000,65.207794
239.32331,1000,66.201548
231.046672,1000,66.759802
229.474255,1000,67.717142
245.466855,1000,68.297276
233.967682,1000,68.859607
289.819233,1000,69.862893
239.210934,1000,70.422181
264.625262,1000,71.425516
259.664515,1000,71.984014
289.352262,1000,73.012091
323.060013,1000,73.572639
301.476595,1000,74.554193
197.503818,1000,75.112443
280.10791,1000,76.087957
274.33943,1000,76.644917
338.543123,1000,77.639723
315.928451,1000,78.199254
295.239912,1000,79.187868
304.747549,1000,79.746443
329.336257,1000,80.716154
311.414774,1000,81.275825
309.104008,1000,82.251097
303.87643,1000,82.80918
371.29181,1000,83.806594
354.6862,1000,84.364504
341.12887,1000,85.352183
378.358439,1000,85.91766
327.860685,1000,86.87235
328.593612,1000,87.439547
247.273095,1000,88.385536
311.666203,1000,88.945899
350.292175,1000,89.916767
78.997966,1000,90.482689
389.406503,1000,91.473531
375.832788,1000,92.033557
330.935267,1000,92.997709
412.05112,1000,93.555526
371.833662,1000,94.549747
321.831105,1000,95.107788
379.6548,1000,96.07092
428.676801,1000,96.638311
404.331038,1000,97.60879
424.252917,1000,98.168379
438.220173,1000,99.138512
400.632235,1000,99.697486
426.393265,1000,100.687478
391.265351,1000,101.254671
393.742693,1000,101.812365
407.047107,1000,102.821076
434.284144,1000,103.376934
438.352756,1000,104.351596
420.686001,1000,104.909351
502.693367,1000,105.923515
484.828699,1000,106.484318
453.567055,1000,107.458983
415.981767,1000,108.017503
441.142564,1000,109.010653
527.497589,1000,109.570314
454.199553,1000,110.549919
516.881281,1000,111.108605
531.850167,1000,112.104414
503.956622,1000,112.662204
537.130239,1000,113.680999
488.870536,1000,114.241261
551.247334,1000,115.250078
564.964879,1000,115.807245
458.083754,1000,116.826585
520.249188,1000,117.39133
578.976004,1000,118.37709
449.054542,1000,118.936135
566.466329,1000,119.914981
559.581877,1000,120.472931
453.544499,1000,121.468411
541.224733,1000,122.027469
601.566527,1000,123.020646
587.947943,1000,123.581285
579.269174,1000,124.565323
564.037734,1000,125.125132
594.607941,1000,126.126528
607.179308,1000,126.685474
590.422361,1000,127.686396
634.545457,1000,128.265482
600.348889,1000,129.294484
634.865306,1000,129.858274
612.675404,1000,130.855742
631.716837,1000,131.416183
683.803857,1000,132.399485
577.182706,1000,132.962826
489.578577,1000,133.956793
659.303637,1000,134.51735
651.18271,1000,135.075831
444.336554,1000,136.048031
578.207355,1000,136.612772
656.943476,1000,137.596246
663.129877,1000,138.152122
564.281555,1000,139.120246
616.904446,1000,139.696569
552.838822,1000,140.689272
633.221224,1000,141.250648
667.764244,1000,142.198841
672.899034,1000,142.76064
674.42531,1000,143.727037
627.931634,1000,144.287918
649.110376,1000,145.290378
679.656545,1000,145.848083
710.38287,1000,146.84382
644.673739,1000,147.412711
756.090606,1000,148.417912
722.532388,1000,148.978048
690.431259,1000,149.987017
545.319178,1000,150.547827
729.608163,1000,151.552108
710.542663,1000,152.112929
758.888448,1000,153.091701
747.695135,1000,153.649585
708.352608,1000,154.635105
754.878885,1000,155.191749
704.658244,1000,156.173472
695.936565,1000,156.73958
675.362886,1000,157.755287
751.893882,1000,158.314632
746.780357,1000,159.333045
721.681652,1000,159.891219
704.250223,1000,160.882084
790.382781,1000,161.444875
740.814401,1000,162.438481
675.69481,1000,162.99528
749.545404,1000,163.993504
717.213984,1000,164.551438
644.8107,1000,165.527351
716.042073,1000,166.085525
759.123926,1000,167.068116
734.403769,1000,167.628432
680.126548,1000,168.190843
821.853649,1000,169.20629
693.25219,1000,169.765166
779.333407,1000,170.772793
781.486879,1000,171.330668
721.708146,1000,172.337437
775.467673,1000,172.895183
692.296107,1000,173.875731
721.965996,1000,174.434606
780.850653,1000,175.410996
820.797146,1000,175.969657
865.946259,1000,176.954988
796.84789,1000,177.526437
840.674709,1000,178.497175
841.397578,1000,179.056753
857.22506,1000,180.073134
804.506375,1000,180.631555
882.224057,1000,181.610208
788.969366,1000,182.168233
808.625621,1000,183.176151
802.395055,1000,183.734901
814.90722,1000,184.736104
706.288251,1000,185.29558
882.86861,1000,186.284867
863.378524,1000,186.84374
850.31563,1000,187.835088
812.075258,1000,188.394582
767.846808,1000,189.376153
854.079637,1000,189.958204
814.349028,1000,191.002466
772.220984,1000,191.570672
872.386094,1000,192.562803
825.610116,1000,193.120121
843.045481,1000,194.1074
880.796439,1000,194.665289
797.658021,1000,195.656391
880.00257,1000,196.216047
970.16609,1000,197.215545
846.820594,1000,197.774184
866.550233,1000,198.778457
840.839157,1000,199.337426
955.75458,1000,199.896222
764.765514,1000,200.894836
783.244853,1000,201.455572
882.950701,1000,202.435533
720.253891,1000,202.993041
866.498337,1000,203.979584
896.727892,1000,204.538583
913.6725,1000,205.533079
927.346158,1000,206.125222
960.03462,1000,207.121512
886.5861,1000,207.69133
915.435731,1000,208.709587
973.73058,1000,209.269084
929.750288,1000,210.285381
949.612391,1000,210.845158
965.734571,1000,211.823256
885.074703,1000,212.383925
895.550061,1000,213.378697
1014.915932,1000,213.937693
950.352775,1000,214.914181
927.168865,1000,215.475993
956.992609,1000,216.493981
927.010418,1000,217.055304
916.522104,1000,218.06101
949.372452,1000,218.62252
857.219556,1000,219.634895
1025.825795,1000,220.194208
1006.493789,1000,221.189766
984.260959,1000,221.748952
955.532083,1000,222.735767
1031.504171,1000,223.297098
983.653429,1000,224.289672
995.513164,1000,224.847503
896.245374,1000,225.852042
985.429381,1000,226.417292
960.93258,1000,227.521647
986.375007,1000,228.0891
995.084639,1000,229.0819
1013.872808,1000,229.64193
1012.413714,1000,230.659756
950.039575,1000,231.219499
1025.633452,1000,232.230295
907.292894,1000,232.788027
1001.289761,1000,233.358785
948.958971,1000,234.39937
959.141463,1000,234.957774
929.566936,1000,235.982952
947.390656,1000,236.543603
959.101594,1000,237.509342
881.472307,1000,238.072884
1074.482991,1000,239.069408
995.513488,1000,239.631751
1015.091363,1000,240.638685
936.367757,1000,241.198845
962.458594,1000,242.218538
914.244494,1000,242.782747
1036.339165,1000,243.80667
1042.880494,1000,244.384401
972.260067,1000,245.424452
988.772689,1000,245.980987
1092.742959,1000,247.018938
1023.57366,1000,247.60029
955.978892,1000,248.662784
981.635729,1000,249.222207
1048.244799,1000,250.257238
1021.856592,1000,250.816425
1035.074768,1000,251.790255
982.456004,1000,252.347748
1054.724913,1000,253.337593
1038.947104,1000,253.894716
986.077635,1000,254.869404
986.981306,1000,255.428887
1037.898269,1000,256.464925
1009.119643,1000,257.025765
1061.078493,1000,258.052912
1040.854638,1000,258.616802
1070.559896,1000,259.618673
1068.649695,1000,260.177969
1020.885472,1000,261.1603
1071.511618,1000,261.71992
1079.078503,1000,262.687532
1009.05884,1000,263.247228
1105.951162,1000,264.239122
1051.042258,1000,264.795165
1041.512437,1000,265.855175
1075.082865,1000,266.415516
1054.074105,1000,266.976412
959.086042,1000,268.007527
1055.293098,1000,268.584658
1123.604355,1000,269.569662
1126.871542,1000,270.127589
1022.055942,1000,271.104103
1104.909689,1000,271.660592
1058.896471,1000,272.659282
1100.286096,1000,273.218089
1129.75346,1000,274.22497
1086.560697,1000,274.784254
1098.316862,1000,275.758131
1096.258687,1000,276.336007
1089.356093,1000,277.38588
1035.168909,1000,277.943633
1081.212598,1000,278.938397
1098.284262,1000,279.497908
1022.25932,1000,280.46632
1052.173048,1000,281.024693
1073.261597,1000,282.001811
1146.577334,1000,282.559186
1082.57689,1000,283.566714
1031.581015,1000,284.124462
1033.789405,1000,285.105169
1040.434208,1000,285.6634
1093.012969,1000,286.64799
1083.953504,1000,287.207587
1032.425786,1000,288.201813
1085.923358,1000,288.765456
1154.283117,1000,289.801174
1146.98136,1000,290.359487
1086.856835,1000,291.40501
1110.373196,1000,291.962853
1180.342466,1000,292.952636
1077.989811,1000,293.516206
1180.086408,1000,294.502986
1081.443062,1000,295.058855
1066.185324,1000,296.037515
1167.213179,1000,296.596704
1164.47795,1000,297.584907
1144.510099,1000,298.14697
1101.47948,1000,299.111279
1150.987223,1000,299.668745
1132.764102,1000,300.224689
1200.100402,1000,301.193319
1206.270003,1000,301.751563
1146.54914,1000,302.76338
1169.386432,1000,303.322665
1142.137389,1000,304.30606
1209.804523,1000,304.862695
1222.442157,1000,305.876609
1239.395157,1000,306.435585
1195.088727,1000,307.430794
1019.161072,1000,307.989109
1194.698453,1000,308.988375
1167.263045,1000,309.54677
1218.302836,1000,310.531525
1148.518384,1000,311.08792
1155.152358,1000,312.095248
1106.274344,1000,312.652125
1199.140623,1000,313.631685
1142.333923,1000,314.189762
1174.247814,1000,315.205757
1205.890223,1000,315.762469
1180.87067,1000,316.735395
1144.121008,1000,317.29377
1165.588517,1000,318.295485
1186.689449,1000,318.858785
1172.348988,1000,319.826315
1233.841545,1000,320.386729
1196.535896,1000,321.354787
1091.947004,1000,321.913649
1090.532518,1000,322.929033
1174.886881,1000,323.487282
1152.485861,1000,324.462035
1169.494827,1000,325.02209
1257.476829,1000,326.066579
1133.327481,1000,326.631538
1078.028692,1000,327.661849
1061.227947,1000,328.223273
1204.398073,1000,329.180674
1295.192484,1000,329.738634
1262.949639,1000,330.719335
1167.219782,1000,331.27726
1253.869748,1000,332.244733
1135.901965,1000,332.802325
1178.528379,1000,333.360717
1214.192244,1000,334.340305
1096.160648,1000,334.901667
1206.015071,1000,335.920468
1219.954305,1000,336.478465
1244.33462,1000,337.474504
1278.191192,1000,338.032486
1245.393286,1000,339.012434
1268.182706,1000,339.571398
1186.51399,1000,340.551936
1176.691756,1000,341.110476
1199.667747,1000,342.104623
1162.795232,1000,342.662494
1195.622722,1000,343.683632
1288.039567,1000,344.243173
1223.660552,1000,345.223611
1268.570504,1000,345.780817
1197.760389,1000,346.780349
1247.869745,1000,347.339799
1159.566801,1000,348.341059
1204.36997,1000,348.904501
1125.721742,1000,349.945111
1120.870671,1000,350.505967
1164.116094,1000,351.481367
1250.972271,1000,352.037288
1309.950077,1000,353.065283
1179.952943,1000,353.628671
