# {"t_start": 1562208467.825335, "env_id": "HalfCheetah-v2"} 
r,l,t
-62.109365,1000,1.67104
-29.512228,1000,2.230367
-4.806412,1000,2.853537
-124.201468,1000,3.412557
-115.091644,1000,5.078596
-6.227251,1000,5.715871
-261.187639,1000,7.018704
-163.679859,1000,7.579517
-84.989737,1000,8.871113
180.825427,1000,9.435186
49.4159,1000,10.740421
-8.879306,1000,11.303538
32.22506,1000,12.621723
-16.698194,1000,13.183273
49.002879,1000,14.500859
100.005398,1000,15.064763
56.34258,1000,16.380408
43.668116,1000,16.942549
-98.856792,1000,18.252216
-48.643376,1000,18.817144
91.764181,1000,20.131307
-74.387891,1000,20.690958
26.794836,1000,21.997081
132.872083,1000,22.560695
29.451268,1000,23.87952
23.66059,1000,24.443427
45.450809,1000,25.772637
59.958942,1000,26.350195
20.036588,1000,27.671517
168.638053,1000,28.235426
79.437822,1000,29.551603
90.35409,1000,30.122166
-8.708885,1000,31.451335
121.990601,1000,32.014451
103.903112,1000,33.323335
80.621002,1000,33.910101
-4.30255,1000,35.442603
92.730427,1000,36.016255
147.686571,1000,37.372343
94.978463,1000,37.943084
104.418959,1000,39.292621
121.70781,1000,39.875957
34.361563,1000,40.442076
67.513688,1000,41.77157
195.583608,1000,42.332803
45.008845,1000,43.665884
105.006534,1000,44.250708
138.087099,1000,45.699338
217.515265,1000,46.268616
63.961832,1000,47.590137
177.5828,1000,48.168782
75.028028,1000,49.478229
193.041441,1000,50.043849
218.624694,1000,51.351716
167.935424,1000,51.940119
258.740851,1000,53.261349
92.812238,1000,53.840256
107.396988,1000,55.177763
180.575968,1000,55.746151
69.348233,1000,57.059138
207.058975,1000,57.626696
95.613614,1000,58.940568
43.826148,1000,59.508173
51.250074,1000,60.846252
216.656958,1000,61.416589
133.430765,1000,62.742793
218.230885,1000,63.316563
258.622897,1000,64.637846
209.030113,1000,65.206483
86.313834,1000,66.524027
184.26125,1000,67.088212
211.15183,1000,68.413039
213.019484,1000,68.979874
191.334683,1000,70.300126
201.684088,1000,70.865846
204.181207,1000,72.187034
265.913664,1000,72.752612
94.284072,1000,74.070789
201.839475,1000,74.639458
257.937093,1000,75.963662
229.905744,1000,76.535086
216.999343,1000,77.85587
225.091024,1000,78.420882
153.185549,1000,79.751823
209.249932,1000,80.31574
271.523722,1000,80.889469
293.672575,1000,82.221442
225.190633,1000,82.784741
303.08365,1000,84.114142
268.796107,1000,84.685471
360.997457,1000,86.008012
359.474949,1000,86.571666
366.859895,1000,87.894749
363.498383,1000,88.458832
364.952627,1000,89.780183
318.814191,1000,90.341763
323.25138,1000,91.662992
465.747454,1000,92.223391
308.943893,1000,93.544627
500.486308,1000,94.10701
366.034384,1000,95.429313
200.178005,1000,96.013843
424.972091,1000,97.340559
369.511877,1000,97.90293
419.575659,1000,99.22235
451.870611,1000,99.783391
428.023713,1000,101.102628
463.635406,1000,101.666642
413.925263,1000,102.987485
365.405936,1000,103.551391
568.627173,1000,104.872228
478.598108,1000,105.437556
449.875035,1000,106.762168
477.312712,1000,107.323878
601.640375,1000,108.674767
401.687735,1000,109.23955
392.282612,1000,110.565642
536.904327,1000,111.128801
619.248858,1000,112.448842
576.932712,1000,113.012549
468.419752,1000,114.338422
601.009053,1000,114.908284
523.876074,1000,116.245457
605.051641,1000,116.811743
560.126942,1000,118.145221
566.379244,1000,118.711388
638.984725,1000,120.040652
610.42218,1000,120.607451
540.920929,1000,121.169484
483.70426,1000,122.490248
607.523943,1000,123.052866
583.164143,1000,124.378326
569.855427,1000,124.94416
691.815484,1000,126.26821
667.312489,1000,126.830462
680.313566,1000,128.152921
811.860754,1000,128.718622
597.260995,1000,130.040792
815.943676,1000,130.604122
652.642213,1000,131.925118
716.722805,1000,132.488782
733.424398,1000,133.828841
743.567202,1000,134.39
650.511462,1000,135.718634
765.905315,1000,136.289574
741.70117,1000,137.619485
746.570575,1000,138.178844
809.060886,1000,139.498958
740.293916,1000,140.066623
845.867259,1000,141.387003
658.464403,1000,141.950189
742.69705,1000,143.270429
846.907887,1000,143.836517
851.732689,1000,145.182053
727.893408,1000,145.744255
741.748821,1000,147.069295
697.487065,1000,147.631053
743.943688,1000,148.951481
783.045006,1000,149.513497
781.575234,1000,150.832467
872.595796,1000,151.394582
760.561309,1000,152.715232
873.082211,1000,153.278235
854.68432,1000,154.598244
788.1141,1000,155.160006
801.885934,1000,156.470671
670.312524,1000,157.032274
899.234993,1000,158.352337
841.964209,1000,158.917231
768.633063,1000,160.246416
735.033985,1000,160.810915
835.444041,1000,161.376142
913.901477,1000,162.706011
965.886659,1000,163.271033
842.612302,1000,164.590447
940.730617,1000,165.153787
937.36038,1000,166.477719
891.902507,1000,167.041891
849.065849,1000,168.366086
984.820033,1000,168.928749
985.619557,1000,170.248404
941.371224,1000,170.81266
792.308297,1000,172.138656
844.228628,1000,172.712443
966.371737,1000,174.036374
760.585624,1000,174.600041
902.175584,1000,175.942517
887.478913,1000,176.505982
945.019717,1000,177.840539
884.25616,1000,178.402371
989.127055,1000,179.742694
845.738074,1000,180.304874
965.632264,1000,181.637738
995.905249,1000,182.199873
930.572697,1000,183.533616
1066.099997,1000,184.095513
939.544088,1000,185.418584
891.690949,1000,185.984349
950.250144,1000,187.307562
844.999022,1000,187.868494
867.146565,1000,189.192511
1006.509376,1000,189.75611
1000.152777,1000,191.081117
1033.638273,1000,191.641995
1038.892104,1000,192.976115
949.926248,1000,193.537903
1119.112379,1000,194.864645
1064.24223,1000,195.429409
977.701958,1000,196.764742
1134.197518,1000,197.327065
1047.737819,1000,198.656528
979.448575,1000,199.220025
1093.572876,1000,200.547201
1143.972729,1000,201.109561
1026.245967,1000,201.673829
1078.64499,1000,202.993934
1154.498567,1000,203.554614
1062.755402,1000,204.882865
1050.932477,1000,205.449259
1002.848614,1000,206.772399
966.262269,1000,207.334399
1110.188309,1000,208.657156
1054.436232,1000,209.221161
958.814011,1000,210.545355
1123.378868,1000,211.107067
965.414127,1000,212.441137
1083.962067,1000,213.004259
1094.680555,1000,214.332474
1094.2796,1000,214.895455
1066.935341,1000,216.221228
1013.294749,1000,216.786671
1091.184925,1000,218.152286
1136.128361,1000,218.718865
1150.781388,1000,220.044075
1158.44816,1000,220.607761
1165.314591,1000,221.929863
1146.307585,1000,222.491636
1170.454035,1000,223.814084
1168.483274,1000,224.3748
1147.562211,1000,225.704048
1075.84454,1000,226.267762
1253.718284,1000,227.602628
1087.795556,1000,228.16247
1107.28264,1000,229.486656
1164.426156,1000,230.050014
1192.542431,1000,231.375274
1067.821311,1000,231.938867
1177.479968,1000,233.263281
1246.169732,1000,233.826957
1102.912494,1000,235.169051
1194.836116,1000,235.7323
1184.984323,1000,237.055375
1119.483461,1000,237.617507
1043.203345,1000,238.936737
1044.512764,1000,239.499765
1102.34918,1000,240.06404
1059.263461,1000,241.386515
1269.140397,1000,241.948407
1143.096865,1000,243.266618
1243.807747,1000,243.834137
1095.204057,1000,245.157022
1163.901432,1000,245.717478
1166.081811,1000,247.040036
1154.256202,1000,247.610385
1154.27029,1000,248.935627
1240.226063,1000,249.49725
1132.727013,1000,250.820815
1230.978185,1000,251.382588
1174.565997,1000,252.704862
1094.18783,1000,253.267593
1183.538998,1000,254.591619
1209.545986,1000,255.155254
1142.75756,1000,256.488516
1256.726824,1000,257.050598
1220.048234,1000,258.375036
1169.67994,1000,258.939362
1194.281564,1000,260.259719
1180.535426,1000,260.821727
1196.169875,1000,262.141894
1055.304869,1000,262.70455
1066.151934,1000,264.038746
1193.732803,1000,264.606764
1065.301211,1000,265.933187
1175.870809,1000,266.495232
1184.237939,1000,267.821085
1175.267186,1000,268.383512
1180.887929,1000,269.712932
1137.952188,1000,270.274305
1143.863421,1000,271.59825
1250.39394,1000,272.162592
1253.911022,1000,273.486505
1346.174734,1000,274.049731
1238.458194,1000,275.378463
1297.131078,1000,275.941968
1226.268559,1000,277.268204
1174.158985,1000,277.830899
1210.395841,1000,279.15429
1204.839253,1000,279.715992
1311.541855,1000,280.276895
1228.564839,1000,281.605165
1272.514962,1000,282.169085
1236.539859,1000,283.496561
1217.133999,1000,284.05699
1257.941411,1000,285.378091
1330.38314,1000,285.945038
1192.781743,1000,287.267996
1232.899355,1000,287.829249
1176.808118,1000,289.154287
1177.993846,1000,289.719854
1250.40545,1000,291.042539
1271.250906,1000,291.603696
1237.295871,1000,292.921573
1160.711596,1000,293.489062
1202.26116,1000,294.818804
1247.812394,1000,295.383752
1320.848307,1000,296.718703
1229.446308,1000,297.281266
1167.381428,1000,298.601345
1222.375358,1000,299.163167
1304.858314,1000,300.485563
1167.573333,1000,301.04669
1246.634442,1000,302.367299
1197.073208,1000,302.930805
1208.93926,1000,304.262894
1179.195877,1000,304.82679
1274.276742,1000,306.152992
1357.903192,1000,306.716713
1218.731795,1000,308.038052
1281.53044,1000,308.601451
1098.630529,1000,309.92976
1251.558915,1000,310.49139
1237.796097,1000,311.839747
1243.76516,1000,312.405479
1187.332065,1000,313.733082
1301.099915,1000,314.296285
1338.829665,1000,315.619292
1250.554154,1000,316.187928
1268.260609,1000,317.520852
1306.634184,1000,318.0853
1314.152967,1000,319.413136
1243.320734,1000,319.978844
1181.178524,1000,320.543641
1291.786399,1000,321.866709
1228.511202,1000,322.429589
1261.598985,1000,323.752572
1323.686782,1000,324.317362
1358.681126,1000,325.660831
1220.301117,1000,326.222992
1318.886017,1000,327.548891
1260.54597,1000,328.113359
1212.719168,1000,329.468455
1325.804239,1000,330.039319
1270.896258,1000,331.415602
1234.689072,1000,331.986472
1341.715973,1000,333.315204
1293.793019,1000,333.877771
1249.09662,1000,335.204621
1352.958115,1000,335.769265
1338.584528,1000,337.098211
1398.799129,1000,337.661399
1307.332401,1000,338.979895
1386.173414,1000,339.542726
1323.798298,1000,340.862891
1439.472421,1000,341.426945
1395.921948,1000,342.769758
1233.89111,1000,343.332157
1263.195713,1000,344.736545
1249.715535,1000,345.332087
1326.341297,1000,346.66202
1307.858474,1000,347.224376
1406.539111,1000,348.548246
1367.621532,1000,349.110878
1274.936146,1000,350.436759
1339.193805,1000,351.000266
1457.663068,1000,352.325562
1369.679911,1000,352.889836
1348.69884,1000,354.218105
1398.636545,1000,354.799008
1428.291517,1000,356.128396
1324.40022,1000,356.692082
1366.303867,1000,358.016824
1252.196081,1000,358.57882
551.298574,1000,359.940079
1226.283773,1000,360.517571
1377.825974,1000,361.1037
1295.834771,1000,362.435763
1396.977083,1000,363.005723
1339.389663,1000,364.345872
1402.921132,1000,364.91221
1342.389237,1000,366.238701
1432.400992,1000,366.80244
1423.300631,1000,368.121162
1373.851899,1000,368.682172
1371.04499,1000,370.006522
