# {"t_start": 1562205131.105189, "env_id": "HalfCheetah-v2"} 
r,l,t
-67.71198,1000,1.225199
-56.017525,1000,1.766832
-30.905538,1000,2.348735
-8.86896,1000,2.871842
211.322571,1000,3.864129
57.358446,1000,4.388195
13.940476,1000,5.337502
50.145608,1000,5.863651
-20.683869,1000,6.819653
9.659632,1000,7.343463
-22.841864,1000,8.295134
16.18549,1000,8.828124
15.374605,1000,9.780048
16.996268,1000,10.303116
-76.223722,1000,11.254898
63.327988,1000,11.784457
-35.38614,1000,12.737769
-9.082938,1000,13.263055
-47.914969,1000,14.211628
86.666038,1000,14.735804
164.808468,1000,15.684747
88.537692,1000,16.213367
9.701968,1000,17.171728
66.541882,1000,17.69863
90.92784,1000,18.64772
90.887489,1000,19.173586
-59.131961,1000,20.122467
98.012938,1000,20.64757
-1.928417,1000,21.598166
39.581728,1000,22.12718
26.004772,1000,23.076178
-56.392781,1000,23.601547
111.370206,1000,24.549021
79.894975,1000,25.074081
161.450684,1000,26.022412
20.19324,1000,26.547912
142.968258,1000,27.499694
66.693783,1000,28.027556
118.446632,1000,28.995533
89.727062,1000,29.523727
48.83969,1000,30.478502
90.851249,1000,31.009137
143.294057,1000,31.545047
140.277604,1000,32.495497
134.85878,1000,33.020955
173.366888,1000,33.98867
95.831986,1000,34.515797
89.558318,1000,35.474634
90.171984,1000,35.999007
162.949621,1000,36.980498
147.398201,1000,37.505204
105.273779,1000,38.45982
142.056252,1000,38.985262
199.155024,1000,39.951444
57.298472,1000,40.480124
160.434801,1000,41.428492
130.713652,1000,41.952941
193.217752,1000,42.903295
117.082002,1000,43.429732
148.571884,1000,44.380542
162.912689,1000,44.904387
142.804427,1000,45.856532
223.836547,1000,46.381718
245.157344,1000,47.330933
170.093067,1000,47.857434
221.188581,1000,48.809167
223.386877,1000,49.336307
131.591328,1000,50.287557
221.497516,1000,50.813642
265.880513,1000,51.763852
232.944816,1000,52.289266
275.633501,1000,53.243341
289.096155,1000,53.76887
176.071117,1000,54.720416
240.333255,1000,55.24631
323.127841,1000,56.200816
