# {"t_start": 1562789563.526922, "env_id": "HalfCheetah-v2"} 
r,l,t
-189.275063,1000,2.844818
-47.323979,1000,3.318947
4.591803,1000,5.048669
-128.751042,1000,5.5151
-2.344862,1000,6.339053
-91.343332,1000,6.801564
48.156789,1000,7.644569
-5.465105,1000,8.118634
-80.600796,1000,8.959004
-42.628871,1000,9.429236
-98.708608,1000,10.286096
-55.870432,1000,10.757755
-2.221658,1000,11.589778
-77.218706,1000,12.065947
-58.542619,1000,12.913794
-39.657727,1000,13.386663
24.168337,1000,14.219363
-36.004444,1000,14.691866
-24.67363,1000,15.55217
-28.732561,1000,16.022822
-9.515087,1000,16.887408
-29.635232,1000,17.353058
-2.948727,1000,18.1927
-6.143861,1000,18.672886
5.429029,1000,19.516868
7.075442,1000,19.992126
-54.886389,1000,20.83711
19.591933,1000,21.308644
-1.516199,1000,22.152427
17.362403,1000,22.620827
-36.067359,1000,23.455165
30.30988,1000,23.918024
19.942056,1000,24.770365
63.088529,1000,25.231522
43.406601,1000,26.10623
22.046174,1000,26.578304
-14.111678,1000,27.422198
-61.305513,1000,27.897036
40.850234,1000,28.767737
26.024733,1000,29.241499
-4.787809,1000,30.160306
22.360031,1000,30.616966
46.909037,1000,31.081127
78.014962,1000,31.939689
33.970637,1000,32.39978
4.055805,1000,33.250965
118.889813,1000,33.721611
113.401986,1000,34.586852
105.905901,1000,35.05359
12.234842,1000,35.898812
83.733782,1000,36.358484
62.995131,1000,37.201933
95.976378,1000,37.665925
86.939346,1000,38.509254
63.524418,1000,38.97998
81.00508,1000,39.82546
153.878874,1000,40.294818
87.63185,1000,41.134201
0.933158,1000,41.611594
104.044693,1000,42.47549
93.465871,1000,42.946345
103.167567,1000,43.800011
79.789577,1000,44.265348
80.553297,1000,45.162774
60.65976,1000,45.639066
105.412368,1000,46.525294
125.267331,1000,46.985716
88.617463,1000,47.841172
116.853007,1000,48.317017
79.435925,1000,49.172908
110.687701,1000,49.642751
103.964875,1000,50.511708
142.211517,1000,50.992043
150.213019,1000,51.856301
146.558206,1000,52.325021
182.16705,1000,53.189084
143.582095,1000,53.663596
157.845555,1000,54.499839
138.218449,1000,54.974184
176.931598,1000,55.84079
72.59989,1000,56.310876
72.738656,1000,57.185771
119.412116,1000,57.665129
202.926746,1000,58.517225
166.594193,1000,58.976457
175.846905,1000,59.453713
160.290907,1000,60.30425
192.921058,1000,60.775886
176.877356,1000,61.631019
123.589077,1000,62.107268
201.091763,1000,62.981607
154.21947,1000,63.445796
204.645285,1000,64.291218
233.443764,1000,64.755414
187.894826,1000,65.673333
217.205888,1000,66.139636
212.503329,1000,67.003903
270.727517,1000,67.486943
227.938035,1000,68.335528
175.943486,1000,68.802641
239.950891,1000,69.680637
179.149867,1000,70.156477
239.935469,1000,71.013268
243.841457,1000,71.486435
165.09735,1000,72.356366
197.073847,1000,72.824841
74.19096,1000,73.705448
228.08146,1000,74.179198
247.512618,1000,75.0588
264.620382,1000,75.533917
277.259588,1000,76.434621
259.451437,1000,76.911176
219.185786,1000,77.782916
239.929955,1000,78.252135
217.501992,1000,79.111107
244.985492,1000,79.588826
218.04983,1000,80.423931
241.019009,1000,80.898823
204.684185,1000,81.756338
327.896094,1000,82.226983
310.996731,1000,83.08979
307.926488,1000,83.560793
311.668316,1000,84.462569
299.124914,1000,84.938161
244.30568,1000,85.799549
207.465522,1000,86.277994
311.725256,1000,87.149253
337.558256,1000,87.626367
250.19898,1000,88.100181
339.851261,1000,88.930315
346.934329,1000,89.397858
299.030145,1000,90.256888
312.382961,1000,90.738009
261.482726,1000,91.631759
274.086357,1000,92.097707
366.483959,1000,92.957035
290.348561,1000,93.421809
292.784288,1000,94.259614
330.162123,1000,94.736783
336.356422,1000,95.598184
360.813077,1000,96.071237
330.749027,1000,96.924802
350.221446,1000,97.385863
381.909361,1000,98.259045
417.291407,1000,98.739673
448.764669,1000,99.595477
350.921753,1000,100.059309
396.154809,1000,100.930392
381.82824,1000,101.398578
396.343526,1000,102.260143
431.480388,1000,102.726933
416.127636,1000,103.574258
426.054107,1000,104.046603
351.465797,1000,104.906957
406.287142,1000,105.385201
407.112883,1000,106.311222
372.055246,1000,106.776422
426.985705,1000,107.630867
312.954136,1000,108.104024
438.835153,1000,108.966819
409.982264,1000,109.439807
433.703645,1000,110.29771
377.606085,1000,110.772296
466.111186,1000,111.668353
528.991558,1000,112.128254
389.889967,1000,112.956597
351.417554,1000,113.420999
378.245371,1000,114.319553
358.466632,1000,114.801157
412.613265,1000,115.700827
390.318086,1000,116.160835
470.070144,1000,116.621887
407.235501,1000,117.468067
419.956006,1000,117.944023
458.183245,1000,118.786893
500.074304,1000,119.259327
454.370432,1000,120.111579
424.962194,1000,120.568929
434.438907,1000,121.394207
449.775454,1000,121.863981
514.367869,1000,122.718253
468.217915,1000,123.186655
504.166111,1000,124.061013
426.616312,1000,124.522011
63.121375,1000,125.389783
522.75283,1000,125.859978
490.753877,1000,126.728251
399.943793,1000,127.203483
580.715758,1000,128.023453
453.07395,1000,128.503844
528.055813,1000,129.366591
462.170881,1000,129.846716
436.975978,1000,130.723591
572.176349,1000,131.195443
466.182099,1000,132.040683
480.569719,1000,132.509927
452.714677,1000,133.373513
537.55767,1000,133.849862
455.172094,1000,134.715114
508.014553,1000,135.177071
524.415019,1000,136.038229
530.559727,1000,136.510457
571.169936,1000,137.355861
546.412659,1000,137.826479
471.359639,1000,138.694763
491.991164,1000,139.167959
432.278862,1000,140.03687
541.771424,1000,140.510924
551.894162,1000,141.395093
542.255732,1000,141.858978
563.347034,1000,142.720577
593.124955,1000,143.18823
550.932213,1000,144.051699
604.768856,1000,144.525625
558.944978,1000,145.00447
606.071346,1000,145.815383
27.821727,1000,146.299056
567.30504,1000,147.167791
536.640273,1000,147.640447
665.143064,1000,148.490181
625.10171,1000,148.972248
541.407469,1000,149.824012
656.169878,1000,150.29165
612.209826,1000,151.15014
518.889907,1000,151.614179
633.01949,1000,152.482679
574.8614,1000,152.952805
625.718374,1000,153.815251
586.948303,1000,154.278642
510.203888,1000,155.126543
684.526341,1000,155.587188
504.699178,1000,156.485477
658.168403,1000,156.96116
567.319569,1000,157.837185
604.260889,1000,158.314416
644.830781,1000,159.164849
630.645333,1000,159.631502
546.934625,1000,160.527567
698.184813,1000,160.992909
601.88579,1000,161.876381
619.732606,1000,162.355377
594.395332,1000,163.222471
719.503656,1000,163.696379
720.97125,1000,164.547313
674.855432,1000,165.012312
6.783053,1000,165.866499
715.290033,1000,166.336761
633.602862,1000,167.205639
572.506997,1000,167.681613
624.711392,1000,168.547317
653.549285,1000,169.027694
720.598729,1000,169.890046
688.035055,1000,170.363224
655.665436,1000,171.27294
755.853471,1000,171.750222
629.303846,1000,172.223764
662.766976,1000,173.072255
705.554697,1000,173.543199
725.393486,1000,174.413797
797.800532,1000,174.885913
694.812147,1000,175.768079
707.320294,1000,176.238233
716.792491,1000,177.098943
774.62196,1000,177.567309
713.703703,1000,178.432302
766.884265,1000,178.904858
772.080262,1000,179.75934
718.341318,1000,180.231588
820.940895,1000,181.124697
839.983628,1000,181.598104
752.925634,1000,182.440869
692.325176,1000,182.916135
788.943754,1000,183.786748
714.73569,1000,184.261895
808.209191,1000,185.113688
771.072181,1000,185.586982
820.235979,1000,186.437654
850.772549,1000,186.909614
766.556789,1000,187.772454
814.840934,1000,188.234062
807.034811,1000,189.074295
807.227187,1000,189.544454
872.5162,1000,190.399146
829.362835,1000,190.873753
756.281378,1000,191.735618
904.647601,1000,192.204718
901.677942,1000,193.070719
861.881962,1000,193.525932
819.608007,1000,194.406357
734.271484,1000,194.883377
770.804707,1000,195.72949
944.262354,1000,196.194398
902.894877,1000,197.079661
802.003536,1000,197.558122
866.498999,1000,198.433772
808.497808,1000,198.910193
888.823979,1000,199.773213
892.846081,1000,200.246153
826.194563,1000,200.710055
853.678788,1000,201.594237
797.27748,1000,202.066719
807.664778,1000,202.931159
700.24221,1000,203.408577
849.576949,1000,204.294411
869.571884,1000,204.753369
869.115663,1000,205.624644
892.426627,1000,206.096388
873.155761,1000,206.961957
866.71934,1000,207.43811
928.978244,1000,208.288011
910.829032,1000,208.757145
832.805579,1000,209.622445
948.319838,1000,210.095015
870.845804,1000,210.947147
824.892134,1000,211.425825
958.189423,1000,212.314441
906.737897,1000,212.797482
896.991969,1000,213.661173
836.417066,1000,214.131251
886.118346,1000,214.997041
902.220196,1000,215.475857
911.820429,1000,216.342504
983.155367,1000,216.817138
872.969521,1000,217.662063
868.844807,1000,218.130229
906.541046,1000,219.014021
976.233057,1000,219.487426
947.016454,1000,220.325948
1037.531383,1000,220.79545
532.659601,1000,221.674761
919.213062,1000,222.147951
789.156141,1000,223.024202
942.935265,1000,223.494357
893.070505,1000,224.333804
983.608274,1000,224.805858
927.623647,1000,225.676594
965.30461,1000,226.144647
1036.927829,1000,227.019542
1025.08624,1000,227.494569
997.479314,1000,228.366683
1076.804583,1000,228.842033
1038.470794,1000,229.310535
978.522005,1000,230.187624
1084.795536,1000,230.66043
968.765634,1000,231.527739
928.98362,1000,232.003239
1012.469703,1000,232.883813
