AverageReturn,Entropy,EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SilSamples,TimeElapsed,TimestepsSoFar,entloss,ev_tdlam_before,meankl,optimgain,surrgain
-29.71859,8.510341,1000.0,-29.71859,2,2,189.0,2.319627046585083,2000,0.0,-0.012439131736755371,0.0088350605,0.037873864,0.037873864
-36.6885,8.50686,1000.0,-36.6885,2,4,283.0,3.6639652252197266,4000,0.0,0.13979512453079224,0.008925011,0.04107141,0.04107141
-41.399128,8.503326,1000.0,-41.399128,2,6,275.0,5.013110399246216,6000,0.0,0.20083028078079224,0.008905754,0.03793457,0.03793457
-40.147064,8.499763,1000.0,-40.147064,2,8,271.0,6.36842942237854,8000,0.0,0.3232881426811218,0.008816735,0.043378867,0.043378867
-63.28595,8.497804,1000.0,-63.28595,2,10,331.0,7.75991678237915,10000,0.0,-0.04825937747955322,0.008858491,0.03937739,0.03937739
-65.96734,8.494146,1000.0,-65.96734,2,12,320.0,9.120128393173218,12000,0.0,-0.12405920028686523,0.008747449,0.044074044,0.044074044
-69.18677,8.490572,1000.0,-69.18677,2,14,324.0,10.472305536270142,14000,0.0,0.15530681610107422,0.008817138,0.043115918,0.043115918
-57.79191,8.487169,1000.0,-57.79191,2,16,338.0,11.830161333084106,16000,0.0,0.24818867444992065,0.008927028,0.043758236,0.043758236
-61.916157,8.483555,1000.0,-61.916157,2,18,318.0,13.164439678192139,18000,0.0,0.12553930282592773,0.009012274,0.045408502,0.045408502
-52.050648,8.479851,1000.0,-52.050648,2,20,294.0,14.519264221191406,20000,0.0,0.28659719228744507,0.008870487,0.045328967,0.045328967
-44.0052,8.476227,1000.0,-44.0052,2,22,228.0,15.851083755493164,22000,0.0,0.18182498216629028,0.008823849,0.046539776,0.046539776
-39.765358,8.472628,1000.0,-39.765358,2,24,248.0,17.186400175094604,24000,0.0,0.44637858867645264,0.00888473,0.04862492,0.04862492
-36.758232,8.469,1000.0,-36.758232,2,26,281.0,18.550962686538696,26000,0.0,0.20955181121826172,0.008761847,0.046339564,0.046339564
-32.117558,8.46542,1000.0,-32.117558,2,28,243.0,19.906357765197754,28000,0.0,0.34871333837509155,0.008677043,0.04909978,0.04909978
-26.694807,8.461885,1000.0,-26.694807,2,30,226.0,21.280370712280273,30000,0.0,0.47605252265930176,0.008838162,0.049105927,0.049105927
-20.616898,8.458163,1000.0,-20.616898,2,32,197.0,22.645591735839844,32000,0.0,0.47868895530700684,0.009043558,0.04785829,0.04785829
-13.833023,8.454503,1000.0,-13.833023,2,34,204.0,24.018396139144897,34000,0.0,0.550660640001297,0.008972984,0.048568558,0.048568558
-7.8401203,8.45084,1000.0,-7.8401203,2,36,209.0,25.366891145706177,36000,0.0,0.13944613933563232,0.008760495,0.04980383,0.04980383
-7.953541,8.447179,1000.0,-7.953541,2,38,239.0,26.71677803993225,38000,0.0,0.44045770168304443,0.008994246,0.051677838,0.051677838
-5.1718707,8.443511,1000.0,-5.1718707,2,40,229.0,28.100621223449707,40000,0.0,0.6094396710395813,0.008817241,0.052158277,0.052158277
