# {"t_start": 1562908883.4195764, "env_id": "HalfCheetah-v2"} 
r,l,t
-44.643511,1000,2.127424
-26.523475,1000,2.57306
-44.040191,1000,3.935792
-21.510041,1000,4.381591
-198.843072,1000,5.185616
5.750831,1000,5.630346
42.00048,1000,6.404007
-100.02889,1000,6.846492
-39.194495,1000,7.612823
-70.924335,1000,8.054672
60.267581,1000,8.817244
-86.880273,1000,9.265697
-24.213456,1000,10.058457
18.66895,1000,10.505502
-26.870199,1000,11.274833
-15.719022,1000,11.715579
79.262318,1000,12.479427
-73.649325,1000,12.907472
-40.290341,1000,13.664864
54.963702,1000,14.104455
-18.267972,1000,14.848042
0.084118,1000,15.291249
149.327704,1000,16.065127
111.67882,1000,16.510083
43.817121,1000,17.270447
43.594018,1000,17.703002
-10.650026,1000,18.470874
22.092741,1000,18.914316
69.522651,1000,19.723073
-2.693344,1000,20.176894
78.294542,1000,20.943241
32.879208,1000,21.409989
11.258711,1000,22.238467
98.465265,1000,22.679317
62.208798,1000,23.471124
3.970452,1000,23.910692
97.942302,1000,24.719908
-140.797127,1000,25.173319
34.885105,1000,25.967674
56.784532,1000,26.419585
15.550185,1000,27.21544
65.357228,1000,27.660952
22.182273,1000,28.107571
66.876502,1000,28.916627
28.935674,1000,29.372326
-5.774869,1000,30.197561
173.226764,1000,30.648389
65.128508,1000,31.471309
85.312902,1000,31.917977
-38.166976,1000,32.704524
-42.999153,1000,33.147737
55.50247,1000,33.934664
92.331786,1000,34.374783
94.020679,1000,35.174072
110.702442,1000,35.624825
97.367882,1000,36.430568
192.265256,1000,36.86955
88.692396,1000,37.694591
27.981273,1000,38.137411
80.452259,1000,38.942414
64.051126,1000,39.393708
149.10564,1000,40.181196
21.15484,1000,40.624885
32.764424,1000,41.427012
84.403452,1000,41.876663
20.609904,1000,42.687845
91.701927,1000,43.136335
16.032865,1000,43.913528
132.2155,1000,44.358662
100.620125,1000,45.123633
181.829777,1000,45.572131
169.954688,1000,46.378741
65.867578,1000,46.818055
109.534216,1000,47.638524
80.95741,1000,48.080819
151.666366,1000,48.882012
125.569371,1000,49.327683
55.906568,1000,50.120754
39.23773,1000,50.565784
126.126213,1000,51.364766
137.296603,1000,51.80656
44.07207,1000,52.618911
153.195119,1000,53.028382
178.312072,1000,53.797155
118.590411,1000,54.254175
180.907457,1000,54.711504
133.534996,1000,55.53618
135.333237,1000,55.979632
173.142109,1000,56.771357
171.948642,1000,57.215819
284.280021,1000,57.998027
57.344592,1000,58.447267
101.913279,1000,59.251423
60.787831,1000,59.708947
183.3524,1000,60.502343
95.025782,1000,60.949065
102.811921,1000,61.755677
103.714831,1000,62.202448
210.09906,1000,62.974188
137.889557,1000,63.424033
179.459993,1000,64.224084
161.822985,1000,64.665412
246.547105,1000,65.434372
86.397044,1000,65.883324
218.108575,1000,66.697302
55.429861,1000,67.142915
157.014628,1000,67.945793
218.653015,1000,68.393886
185.35413,1000,69.174446
198.698544,1000,69.6158
169.659652,1000,70.440063
215.81162,1000,70.884297
224.000586,1000,71.668787
284.33783,1000,72.105702
198.718626,1000,72.901071
130.92597,1000,73.334152
190.557816,1000,74.119966
309.334578,1000,74.558992
144.194972,1000,75.352002
151.46049,1000,75.787993
213.822356,1000,76.572732
185.014341,1000,77.017531
195.348921,1000,77.826584
184.526145,1000,78.2709
112.513542,1000,79.059957
325.287439,1000,79.503417
233.875848,1000,80.318367
81.644859,1000,80.762605
179.981245,1000,81.197838
226.313176,1000,81.983377
119.843318,1000,82.423835
284.371602,1000,83.198327
243.693973,1000,83.650398
119.514063,1000,84.477486
354.84055,1000,84.929155
228.751869,1000,85.707545
222.262722,1000,86.149688
227.499544,1000,86.938804
230.920901,1000,87.381097
135.654749,1000,88.16871
222.093617,1000,88.623021
314.044337,1000,89.426916
123.801086,1000,89.877928
152.450989,1000,90.672876
288.765635,1000,91.119806
235.954962,1000,91.929776
185.396206,1000,92.369638
274.37925,1000,93.173423
268.082378,1000,93.613764
217.780818,1000,94.414068
358.971013,1000,94.8647
279.975952,1000,95.634536
245.045883,1000,96.072959
304.196338,1000,96.881544
264.915289,1000,97.339261
347.388399,1000,98.139541
224.786886,1000,98.593626
208.507735,1000,99.420808
214.067773,1000,99.879622
277.291766,1000,100.700364
193.775392,1000,101.140102
119.207624,1000,101.942307
314.847208,1000,102.390696
252.907433,1000,103.183016
218.651262,1000,103.635887
223.606785,1000,104.421011
307.008174,1000,104.869595
248.407016,1000,105.653475
380.741507,1000,106.104757
325.285537,1000,106.899414
203.82999,1000,107.34058
253.87184,1000,107.78884
210.480181,1000,108.595912
203.512099,1000,109.043027
363.951879,1000,109.846925
206.94995,1000,110.286567
292.840206,1000,111.085606
293.412019,1000,111.531217
374.056383,1000,112.326631
286.508304,1000,112.775732
423.633687,1000,113.549687
363.451493,1000,113.995756
405.319914,1000,114.769717
307.644819,1000,115.221177
316.74089,1000,115.992931
262.758748,1000,116.443426
284.704822,1000,117.227657
308.677256,1000,117.683909
351.187314,1000,118.514313
409.539501,1000,118.973408
330.101799,1000,119.783573
428.208665,1000,120.231251
384.376598,1000,121.034611
271.616256,1000,121.471985
17.394417,1000,122.257004
504.810058,1000,122.693318
519.768995,1000,123.477494
405.39744,1000,123.919885
431.046361,1000,124.710383
336.615314,1000,125.158185
464.065689,1000,125.96514
416.949046,1000,126.411241
476.873497,1000,127.224516
464.435338,1000,127.661546
345.329963,1000,128.459453
243.24231,1000,128.902904
521.770912,1000,129.691039
471.294529,1000,130.138708
286.519841,1000,130.938717
327.468342,1000,131.378382
462.546776,1000,132.172704
516.610368,1000,132.61616
529.185734,1000,133.410027
555.486634,1000,133.853609
476.637931,1000,134.29379
662.974812,1000,135.082983
382.187487,1000,135.537939
663.200886,1000,136.325749
636.826564,1000,136.775209
356.134692,1000,137.566699
443.846959,1000,138.002013
511.292415,1000,138.778185
550.103856,1000,139.226074
635.29154,1000,140.014168
247.523098,1000,140.463342
747.309883,1000,141.221094
398.211877,1000,141.664536
642.510688,1000,142.461302
527.977011,1000,142.913376
560.28441,1000,143.707481
664.301112,1000,144.159392
623.513376,1000,144.954265
398.895048,1000,145.401881
368.644991,1000,146.179384
395.161146,1000,146.617358
735.46464,1000,147.425864
401.271998,1000,147.865844
626.763207,1000,148.68991
508.49084,1000,149.136063
680.821838,1000,149.93047
637.658536,1000,150.379429
806.716896,1000,151.150041
669.840438,1000,151.603431
421.765399,1000,152.385826
684.141861,1000,152.838268
503.767076,1000,153.62185
290.001297,1000,154.06421
593.84108,1000,154.87015
624.295252,1000,155.309678
608.766021,1000,156.140594
732.252611,1000,156.58696
666.61186,1000,157.395411
841.47993,1000,157.847279
657.017271,1000,158.653104
742.952873,1000,159.098473
826.545686,1000,159.547875
413.187984,1000,160.340211
646.650026,1000,160.777779
399.744155,1000,161.575116
495.140086,1000,162.021501
631.273926,1000,162.812386
594.519481,1000,163.253753
483.475824,1000,164.033583
433.639744,1000,164.472978
726.53146,1000,165.262074
912.855201,1000,165.71109
489.379012,1000,166.499196
848.936145,1000,166.950885
936.972054,1000,167.733859
743.476364,1000,168.186568
819.703059,1000,168.989109
820.367478,1000,169.432472
787.121111,1000,170.217012
488.205291,1000,170.664553
476.002539,1000,171.47616
554.677134,1000,171.928788
726.714359,1000,172.736294
609.820785,1000,173.189638
520.202642,1000,173.991976
877.44372,1000,174.433488
978.27634,1000,175.206312
859.106802,1000,175.643431
847.541418,1000,176.427432
884.50577,1000,176.863866
334.508275,1000,177.644462
927.754455,1000,178.089325
824.370646,1000,178.882
745.279742,1000,179.328864
842.945257,1000,180.127089
399.302619,1000,180.582763
82.491499,1000,181.41211
905.546002,1000,181.863704
575.677143,1000,182.660121
892.855644,1000,183.106418
875.799529,1000,183.909685
827.291895,1000,184.359875
903.181724,1000,185.135296
931.429116,1000,185.567936
444.007259,1000,186.009128
926.382257,1000,186.802385
915.428825,1000,187.250347
1026.516888,1000,188.049688
529.59989,1000,188.492725
964.623012,1000,189.275259
993.903787,1000,189.719809
878.606609,1000,190.533891
824.552479,1000,190.985961
866.304108,1000,191.781895
997.643651,1000,192.231833
198.225042,1000,193.004182
1123.393789,1000,193.458908
1036.062889,1000,194.250394
1078.876798,1000,194.69266
989.293155,1000,195.48463
952.402206,1000,195.924085
869.14386,1000,196.703763
977.559029,1000,197.148149
1101.599777,1000,197.948038
1106.375878,1000,198.399243
1068.547736,1000,199.196143
304.1051,1000,199.644525
966.116289,1000,200.449784
927.694755,1000,200.90235
1135.654646,1000,201.723609
1052.757853,1000,202.174577
429.008303,1000,202.972508
1121.689482,1000,203.423507
1013.576332,1000,204.227668
914.570858,1000,204.668574
1078.456228,1000,205.501663
1088.9532,1000,205.936405
1139.04733,1000,206.718218
224.774661,1000,207.172899
1147.111227,1000,207.977733
991.995745,1000,208.422083
1071.660596,1000,209.201378
1008.973575,1000,209.646784
1123.124653,1000,210.419316
1176.17467,1000,210.873893
913.982337,1000,211.65434
1085.619512,1000,212.092757
1256.688339,1000,212.54641
1144.111917,1000,213.367281
288.2839,1000,213.803403
1165.177408,1000,214.59299
1107.016897,1000,215.039388
495.767083,1000,215.824279
950.444494,1000,216.261853
1038.385115,1000,217.050489
988.610789,1000,217.495005
1065.301366,1000,218.285978
1095.402823,1000,218.728189
1082.709007,1000,219.531683
1031.303332,1000,219.982142
1086.472987,1000,220.776935
267.569823,1000,221.22888
1116.7577,1000,222.016875
1027.563713,1000,222.45945
1207.182195,1000,223.245806
1154.635279,1000,223.694298
1207.192922,1000,224.493133
1156.033715,1000,224.947645
1160.677651,1000,225.755688
549.480825,1000,226.190987
1055.297001,1000,226.999162
1102.676553,1000,227.442017
1086.20014,1000,228.232269
612.77056,1000,228.676702
1263.31677,1000,229.494091
1161.55517,1000,229.949654
1331.593435,1000,230.748737
422.11391,1000,231.197844
1294.684598,1000,232.005999
1086.620591,1000,232.452591
1139.698814,1000,233.277364
1142.59246,1000,233.71999
1190.392531,1000,234.523935
1307.106532,1000,234.972552
1330.183071,1000,235.77479
1098.661901,1000,236.226413
1341.17607,1000,237.03099
1301.740392,1000,237.476777
1228.274946,1000,238.276552
1185.122961,1000,238.722677
1036.030584,1000,239.178526
1379.196778,1000,239.972052
435.984221,1000,240.421961
1212.653745,1000,241.195788
1206.73895,1000,241.642244
1154.819365,1000,242.444503
1521.066494,1000,242.886233
1290.789745,1000,243.664705
1295.980898,1000,244.10188
1429.280901,1000,244.902325
