AverageReturn,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,sil_samples
-29.1685925,1000.0,-29.1685925,1348,0.00789039,0.11171875,8.51968,-0.021029128,10.452895,-0.004313230514526367,1,2048,1.5191437379980925,2048,365.0
-23.38238725,1000.0,-23.38238725,1468,0.008841252,0.12177734,8.513908,-0.021638423,9.682859,0.011998355388641357,2,4096,2.9143173759985075,4096,430.0
-19.847464000000002,1000.0,-19.847464000000002,1429,0.007884495,0.114794925,8.484474,-0.01876807,14.263426,0.051828980445861816,3,6144,4.347057065999252,6144,425.0
-28.084712375000002,1000.0,-28.084712375000002,1466,0.0082632955,0.11425781,8.483282,-0.022287134,14.60628,0.04869341850280762,4,8192,5.744107492999319,8192,437.0
-46.741037600000006,1000.0,-46.741037600000006,1461,0.010567475,0.1546875,8.471556,-0.026846346,12.51771,0.027723610401153564,5,10240,7.145386754000356,10240,443.0
-41.75559925,1000.0,-41.75559925,1458,0.010483757,0.15795898,8.440628,-0.026714062,7.9860334,0.11066317558288574,6,12288,8.55035747799775,12288,440.0
-31.711175500000007,1000.0,-31.711175500000007,1447,0.008707302,0.12880859,8.40419,-0.023778412,10.137747,0.19194555282592773,7,14336,9.965793688999838,14336,459.0
-23.983800875,1000.0,-23.983800875,1448,0.008592559,0.123486325,8.388201,-0.023889523,15.548105,0.1653624176979065,8,16384,11.380058023998572,16384,445.0
-24.60038877777778,1000.0,-24.60038877777778,1444,0.010347589,0.15136719,8.372942,-0.026838806,6.564538,0.18600088357925415,9,18432,12.798594128998957,18432,437.0
-19.099697300000003,1000.0,-19.099697300000003,1445,0.009683205,0.13769531,8.326616,-0.023317505,5.6612196,0.2209492325782776,10,20480,14.216189457998553,20480,450.0
-15.687788227272732,1000.0,-15.687788227272732,1393,0.009760639,0.14013672,8.296362,-0.02339658,9.97471,0.18658512830734253,11,22528,15.686040868997225,22528,452.0
-4.985960958333336,1000.0,-4.985960958333336,1445,0.009715086,0.1359375,8.276431,-0.02432128,6.426473,0.33929872512817383,12,24576,17.10284794099789,24576,464.0
-3.333021846153848,1000.0,-3.333021846153848,1447,0.010297277,0.15405273,8.243747,-0.026973724,7.686953,0.095120370388031,13,26624,18.517720110998198,26624,460.0
-1.8879768214285728,1000.0,-1.8879768214285728,1441,0.010578463,0.15209961,8.2417345,-0.027584706,5.8699336,0.30664652585983276,14,28672,19.938810493000346,28672,456.0
1.4298375666666656,1000.0,1.4298375666666656,1448,0.0111656375,0.15693359,8.240366,-0.03042597,4.9055257,0.199537992477417,15,30720,21.353343852999387,30720,459.0
3.051460812500002,1000.0,3.051460812500002,1453,0.009300334,0.13305664,8.218243,-0.02635395,7.3106995,0.2686927318572998,16,32768,22.7629673909978,32768,452.0
3.7071604411764723,1000.0,3.7071604411764723,1449,0.012169892,0.17680664,8.188114,-0.030477792,6.301104,0.13476639986038208,17,34816,24.175786912997864,34816,443.0
8.207362611111114,1000.0,8.207362611111114,1449,0.009821489,0.14726563,8.16884,-0.025607541,12.629183,0.28376108407974243,18,36864,25.589156124999135,36864,455.0
