# {"t_start": 1562939036.8456564, "env_id": "HalfCheetah-v2"} 
r,l,t
3.203525,1000,1.367944
-45.541314,1000,1.812113
-65.626941,1000,2.290178
-43.532869,1000,2.729515
-97.926702,1000,3.628346
16.43353,1000,4.07069
-67.770499,1000,4.858659
-40.954315,1000,5.308278
-74.051083,1000,6.109692
51.386705,1000,6.559912
-167.529595,1000,7.354065
50.65498,1000,7.794996
35.691241,1000,8.589081
97.264658,1000,9.029521
35.122947,1000,9.819527
110.647615,1000,10.268341
-23.317738,1000,11.067581
-15.141541,1000,11.516592
65.301047,1000,12.309736
30.447897,1000,12.761703
73.290452,1000,13.556022
36.983412,1000,14.003133
47.542977,1000,14.795045
38.261446,1000,15.240323
85.934093,1000,16.111778
119.91147,1000,16.555759
68.189574,1000,17.348785
88.932846,1000,17.798165
92.502072,1000,18.586711
38.796336,1000,19.033141
124.041634,1000,19.824343
116.935259,1000,20.27015
95.753392,1000,21.066304
191.564346,1000,21.507932
96.15512,1000,22.313592
204.279336,1000,22.761591
161.782096,1000,23.551513
173.335396,1000,23.994375
171.306851,1000,24.792289
175.500645,1000,25.231032
202.491193,1000,26.021303
199.797029,1000,26.461375
221.391718,1000,26.902924
258.152609,1000,27.701235
208.927862,1000,28.151033
183.789909,1000,28.951997
226.173793,1000,29.398938
225.871384,1000,30.196839
192.486101,1000,30.632709
189.173582,1000,31.425905
176.541605,1000,31.869824
319.431712,1000,32.664488
256.144008,1000,33.11348
408.205801,1000,33.906025
313.885244,1000,34.342107
320.263147,1000,35.1408
390.768665,1000,35.591149
314.987914,1000,36.393122
436.970137,1000,36.84028
390.885918,1000,37.642215
292.995588,1000,38.091882
354.361175,1000,38.894098
388.460854,1000,39.33665
471.717631,1000,40.13378
419.431615,1000,40.571558
452.203401,1000,41.376456
463.247671,1000,41.825595
533.024585,1000,42.628204
515.50898,1000,43.069924
508.899105,1000,43.86159
512.701135,1000,44.304515
500.532383,1000,45.104718
566.158166,1000,45.55562
525.701858,1000,46.359404
571.689246,1000,46.814011
594.183452,1000,47.60604
404.565716,1000,48.053323
593.007753,1000,48.84729
675.099362,1000,49.29283
550.528167,1000,50.092143
623.347279,1000,50.534081
771.993726,1000,51.337471
669.967616,1000,51.795104
633.646544,1000,52.603366
754.63457,1000,53.055521
633.896722,1000,53.501189
746.022073,1000,54.297772
767.795678,1000,54.739658
858.059902,1000,55.539222
726.641974,1000,55.986134
630.253768,1000,56.786338
509.385273,1000,57.234081
774.7631,1000,58.039043
770.390929,1000,58.483354
839.765221,1000,59.28224
872.688698,1000,59.728458
777.7175,1000,60.531313
847.03758,1000,60.973424
847.943981,1000,61.775724
470.589778,1000,62.224622
905.057457,1000,63.03387
843.823284,1000,63.485782
197.407105,1000,64.29228
790.228696,1000,64.743302
910.950999,1000,65.54134
934.669088,1000,65.991216
964.136357,1000,66.795615
776.794128,1000,67.245608
893.79773,1000,68.096646
817.181559,1000,68.54927
977.491816,1000,69.348136
918.539099,1000,69.790599
971.557053,1000,70.59695
1008.222649,1000,71.049396
818.259169,1000,71.857782
877.704088,1000,72.305511
954.198388,1000,73.111358
907.075018,1000,73.556719
972.19514,1000,74.356761
997.003102,1000,74.807218
975.093062,1000,75.614722
1076.164972,1000,76.060357
531.500839,1000,76.864835
1058.806739,1000,77.30792
1041.582811,1000,78.110706
824.304043,1000,78.563045
1062.345258,1000,79.364157
1105.552996,1000,79.810458
1179.809524,1000,80.260752
1066.956291,1000,81.061949
983.61969,1000,81.512534
1103.028881,1000,82.315141
1073.919542,1000,82.757896
1019.94693,1000,83.542454
638.917655,1000,83.983679
1155.146482,1000,84.776458
1181.621649,1000,85.218511
826.196936,1000,86.018539
1130.392386,1000,86.467404
535.856771,1000,87.272733
1197.788406,1000,87.723827
80.236693,1000,88.541608
1164.853938,1000,88.986832
1114.183088,1000,89.791751
959.158074,1000,90.238487
1068.981769,1000,91.038342
1150.179159,1000,91.478868
325.419217,1000,92.272978
1109.997259,1000,92.714293
1214.845193,1000,93.506736
1152.88264,1000,93.954332
866.202872,1000,94.757454
1160.165306,1000,95.20252
1182.143045,1000,96.002454
