# {"t_start": 1562327680.029779, "env_id": "HalfCheetah-v2"} 
r,l,t
-227.371824,1000,1.093103
98.694766,1000,1.515589
-80.634391,1000,1.974343
-52.740911,1000,2.398831
-28.795292,1000,3.220694
-144.596974,1000,3.640222
-32.056779,1000,4.389364
-24.181325,1000,4.813651
7.334399,1000,5.556326
-16.209825,1000,5.977891
-54.405555,1000,6.727549
-58.840354,1000,7.146395
-53.476836,1000,7.896566
27.732623,1000,8.313945
-111.705839,1000,9.061854
26.714709,1000,9.486503
-76.04816,1000,10.228683
63.142682,1000,10.651101
27.012722,1000,11.398732
-1.701534,1000,11.820949
79.038475,1000,12.57751
93.206414,1000,12.999352
-21.737671,1000,13.750436
35.736391,1000,14.173847
156.364924,1000,14.924938
100.744755,1000,15.347609
88.169339,1000,16.103998
83.006446,1000,16.532852
111.177668,1000,17.280279
92.381775,1000,17.712486
16.909185,1000,18.466838
63.420752,1000,18.894193
109.362474,1000,19.644147
64.523905,1000,20.068052
114.431902,1000,20.816165
96.227852,1000,21.245497
158.258585,1000,21.999282
214.118824,1000,22.418497
111.21536,1000,23.16123
177.991432,1000,23.589824
144.240275,1000,24.320715
121.107296,1000,24.748204
146.951602,1000,25.171648
185.396517,1000,25.924494
111.518595,1000,26.33965
205.992486,1000,27.088529
142.923388,1000,27.511652
264.36933,1000,28.260893
177.460406,1000,28.693237
144.282054,1000,29.44328
206.40526,1000,29.864595
217.467568,1000,30.619749
251.881486,1000,31.038164
331.619478,1000,31.786245
272.159495,1000,32.208723
249.391377,1000,32.95066
344.157173,1000,33.374794
309.765617,1000,34.130014
268.521966,1000,34.552284
313.110928,1000,35.298908
362.111329,1000,35.727726
377.355871,1000,36.47641
350.295173,1000,36.898587
390.432823,1000,37.642048
376.090689,1000,38.065811
290.749075,1000,38.813424
392.434409,1000,39.237631
463.17986,1000,40.023524
481.62701,1000,40.446441
472.763771,1000,41.197719
500.970052,1000,41.62409
330.464222,1000,42.369601
457.798141,1000,42.790276
473.110282,1000,43.560937
515.345929,1000,43.979892
466.181015,1000,44.724689
464.249602,1000,45.152793
506.872417,1000,45.901779
514.848212,1000,46.324014
558.364285,1000,47.076778
577.710654,1000,47.500679
631.761636,1000,48.24989
468.128182,1000,48.687978
577.162506,1000,49.43364
599.715173,1000,49.860316
701.738766,1000,50.286682
629.451934,1000,51.031956
705.680286,1000,51.45594
702.342836,1000,52.20591
698.38872,1000,52.619243
571.162791,1000,53.365441
586.249986,1000,53.791093
744.326642,1000,54.542171
742.297779,1000,54.968689
803.717579,1000,55.725695
758.674167,1000,56.144525
755.016665,1000,56.894045
933.473044,1000,57.319775
844.058086,1000,58.069242
738.352605,1000,58.492845
793.751643,1000,59.245038
914.327586,1000,59.670858
908.637911,1000,60.416711
743.850631,1000,60.846992
744.819851,1000,61.594455
791.630376,1000,62.01702
823.073881,1000,62.767522
820.393278,1000,63.188213
969.841404,1000,63.946245
854.177558,1000,64.373347
939.233062,1000,65.122425
919.829249,1000,65.540912
931.602576,1000,66.285659
1015.384981,1000,66.702451
932.667131,1000,67.452924
919.519059,1000,67.872975
998.920295,1000,68.633863
824.440246,1000,69.053982
1006.941996,1000,69.810621
944.881677,1000,70.236662
983.793426,1000,70.980872
1009.242854,1000,71.408323
952.455753,1000,72.160495
1029.140411,1000,72.579465
962.216294,1000,73.328841
1014.583136,1000,73.759632
916.286632,1000,74.510405
1137.136255,1000,74.928815
1052.437185,1000,75.348664
949.374135,1000,76.1062
917.258227,1000,76.526134
1143.113626,1000,77.273911
1068.888472,1000,77.685144
1124.236576,1000,78.434505
1073.85247,1000,78.863499
977.539344,1000,79.617146
1081.310157,1000,80.013944
1212.698581,1000,80.758185
1103.225796,1000,81.161542
1266.41619,1000,81.908836
1107.997169,1000,82.332702
1170.407719,1000,83.077664
1205.611374,1000,83.502035
1215.906813,1000,84.251687
1166.685357,1000,84.67425
1219.306474,1000,85.427374
1179.63746,1000,85.846412
1202.717465,1000,86.60084
1146.822415,1000,87.022836
1264.990049,1000,87.772841
1182.535975,1000,88.19657
1264.868858,1000,88.951697
1059.378234,1000,89.377651
1303.015599,1000,90.117979
1282.467291,1000,90.535549
1213.391552,1000,91.285473
1188.069719,1000,91.703227
1181.779461,1000,92.452487
1224.819992,1000,92.877943
1256.30325,1000,93.640779
1253.243279,1000,94.056614
1309.657144,1000,94.811007
1332.207712,1000,95.236741
1303.264977,1000,95.989916
1161.920004,1000,96.412588
1189.342563,1000,97.166712
1291.511601,1000,97.585936
1331.208963,1000,98.33602
1225.674847,1000,98.765726
1233.636702,1000,99.517953
1015.673054,1000,99.939486
1252.026866,1000,100.357857
1334.150815,1000,101.105995
1298.499918,1000,101.51162
1180.08174,1000,102.26677
1375.322698,1000,102.685958
1306.993867,1000,103.438324
1250.24214,1000,103.867665
1325.070185,1000,104.614272
1332.113224,1000,105.030503
1238.422665,1000,105.781859
1294.687615,1000,106.2034
1411.326147,1000,106.949615
1332.034315,1000,107.369359
1311.664589,1000,108.110679
1328.649302,1000,108.533175
1313.678235,1000,109.285493
1424.851339,1000,109.684353
1346.998007,1000,110.423586
1337.242023,1000,110.84887
1367.533656,1000,111.606923
1413.098374,1000,112.033117
1412.528486,1000,112.772441
1282.589913,1000,113.189559
1432.913414,1000,113.945821
1320.49727,1000,114.363289
1260.230237,1000,115.123358
1255.141896,1000,115.546922
1328.828572,1000,116.292682
1272.023783,1000,116.713232
1344.289451,1000,117.468471
1400.000627,1000,117.890547
1302.069295,1000,118.649597
1221.657696,1000,119.075449
1334.964122,1000,119.823116
1326.761068,1000,120.249701
1345.425502,1000,121.003448
1416.708978,1000,121.426795
1170.376947,1000,122.175978
1435.548154,1000,122.598618
1375.154926,1000,123.349262
1360.08956,1000,123.775563
1336.784792,1000,124.538445
1369.545467,1000,124.96547
1392.827302,1000,125.383125
1447.12236,1000,126.129766
1439.912413,1000,126.5443
1405.340555,1000,127.293015
1440.581335,1000,127.70549
1474.419664,1000,128.45078
1403.01157,1000,128.866003
1447.631879,1000,129.619867
1357.606083,1000,130.041707
592.029246,1000,130.791468
1398.368181,1000,131.217311
1393.614359,1000,131.963572
1405.487481,1000,132.382409
1464.04982,1000,133.139053
1422.90192,1000,133.558353
