# {"t_start": 1562763289.0093842, "env_id": "HalfCheetah-v2"} 
r,l,t
-61.324648,1000,1.353569
-129.393454,1000,1.79631
20.038297,1000,2.275725
-179.265407,1000,2.716777
-52.052123,1000,3.75487
21.063104,1000,4.201298
-53.145004,1000,5.127647
12.859413,1000,5.571026
-21.335715,1000,6.501627
-13.763512,1000,6.943445
-138.968268,1000,7.887608
51.15373,1000,8.337822
16.242133,1000,9.356352
-82.83224,1000,9.807495
17.421296,1000,10.748939
-8.304922,1000,11.193612
-13.068463,1000,12.133918
-36.988446,1000,12.577109
57.908842,1000,13.518936
-77.136163,1000,13.965687
57.82354,1000,14.907065
2.910542,1000,15.350293
9.911459,1000,16.295336
-20.394364,1000,16.741414
49.82279,1000,17.689103
39.556821,1000,18.132397
4.388243,1000,19.066721
87.081366,1000,19.516313
84.270722,1000,20.45859
96.036759,1000,20.898822
-134.051233,1000,21.844515
-39.216761,1000,22.289026
73.520712,1000,23.231044
28.691793,1000,23.669851
86.29249,1000,24.608825
39.479889,1000,25.056949
35.179907,1000,26.001195
153.753305,1000,26.442893
50.0564,1000,27.380116
103.185874,1000,27.828576
86.787078,1000,28.792947
127.369892,1000,29.233957
153.772319,1000,29.670377
82.941116,1000,30.61341
116.129728,1000,31.053258
67.852851,1000,31.997359
101.121779,1000,32.436788
189.202089,1000,33.397827
167.615565,1000,33.842536
152.603487,1000,34.78848
112.944026,1000,35.231663
165.219743,1000,36.190519
71.896141,1000,36.635981
209.866684,1000,37.57705
206.081263,1000,38.020546
258.72194,1000,38.966368
165.878989,1000,39.411729
164.203153,1000,40.356652
244.768451,1000,40.806319
175.232804,1000,41.762145
157.998907,1000,42.205476
237.943123,1000,43.166005
227.136756,1000,43.619867
200.447598,1000,44.577175
268.524817,1000,45.029258
310.400077,1000,45.977906
286.371966,1000,46.428665
324.243465,1000,47.38064
317.02326,1000,47.829477
334.941429,1000,48.780285
265.31314,1000,49.225758
314.545956,1000,50.180141
255.883887,1000,50.633939
344.648563,1000,51.579123
364.067175,1000,52.027574
289.057194,1000,52.988305
339.105512,1000,53.442883
339.699606,1000,54.397456
348.48051,1000,54.846677
373.133775,1000,55.80291
298.061951,1000,56.250068
333.535713,1000,57.199153
426.693761,1000,57.647259
425.219135,1000,58.596014
367.493695,1000,59.040734
401.973536,1000,59.484296
382.939797,1000,60.439398
427.755709,1000,60.889003
381.388226,1000,61.838854
442.763489,1000,62.281549
453.824198,1000,63.240283
388.349363,1000,63.687058
429.190395,1000,64.639797
418.263328,1000,65.08376
443.443668,1000,66.04139
502.062907,1000,66.48908
461.916538,1000,67.448936
417.968787,1000,67.898056
423.569655,1000,68.857059
465.474785,1000,69.310113
465.71238,1000,70.267699
503.654868,1000,70.713713
563.366289,1000,71.667988
521.427304,1000,72.118633
554.915844,1000,73.085752
515.894782,1000,73.533796
549.061681,1000,74.487596
540.452092,1000,74.940745
585.533457,1000,75.893877
537.194156,1000,76.338157
598.076128,1000,77.284007
582.594294,1000,77.726562
530.544993,1000,78.678316
568.380992,1000,79.124797
592.928049,1000,80.076652
535.891252,1000,80.51928
603.435605,1000,81.478462
645.467791,1000,81.9294
627.601973,1000,82.890536
597.311701,1000,83.340283
327.712303,1000,84.296935
701.103502,1000,84.743909
679.884539,1000,85.696099
704.549499,1000,86.13992
661.932622,1000,87.099026
697.143076,1000,87.5531
522.549212,1000,88.514735
671.989372,1000,88.971112
696.181555,1000,89.420513
657.06197,1000,90.381841
668.859987,1000,90.828428
685.666995,1000,91.786032
720.827426,1000,92.233427
597.271073,1000,93.19686
522.335731,1000,93.645262
801.27508,1000,94.607643
724.084318,1000,95.057657
757.587262,1000,96.02913
719.074517,1000,96.483783
626.914252,1000,97.45032
738.091447,1000,97.903081
729.241731,1000,98.875895
553.960947,1000,99.304307
767.911792,1000,100.260938
752.283682,1000,100.705836
493.504931,1000,101.665636
631.492454,1000,102.118108
785.54312,1000,103.066248
807.761794,1000,103.50932
873.807432,1000,104.468946
891.934038,1000,104.912221
791.598954,1000,105.864562
832.535267,1000,106.30881
849.293266,1000,107.258915
808.148046,1000,107.709918
756.640418,1000,108.682149
864.983451,1000,109.136082
612.690087,1000,110.103309
886.947251,1000,110.556003
894.480532,1000,111.511218
846.754868,1000,111.965413
861.935587,1000,112.927555
879.584783,1000,113.381294
944.382862,1000,114.342184
941.089975,1000,114.792974
900.637604,1000,115.748661
950.815459,1000,116.188857
951.478605,1000,117.147635
149.867102,1000,117.606921
906.977176,1000,118.559552
570.09246,1000,119.005804
860.737097,1000,119.450167
862.568835,1000,120.402394
898.660268,1000,120.843161
915.41924,1000,121.803055
856.858238,1000,122.251531
1001.017918,1000,123.210019
994.965543,1000,123.660705
924.296984,1000,124.617666
895.581614,1000,125.065211
934.455142,1000,126.02607
909.932006,1000,126.470878
851.069327,1000,127.425125
918.182131,1000,127.867329
932.893351,1000,128.825661
942.052083,1000,129.272524
1011.301288,1000,130.226722
983.264249,1000,130.676708
1006.437439,1000,131.635317
1052.070201,1000,132.08265
1014.117686,1000,133.035108
997.714924,1000,133.482187
1000.652726,1000,134.438507
950.090453,1000,134.894583
1035.673369,1000,135.860775
1026.801746,1000,136.309718
1034.083772,1000,137.264998
1064.287992,1000,137.713729
1037.050436,1000,138.681479
1057.270396,1000,139.127373
1014.945892,1000,140.086017
997.823975,1000,140.531541
1034.300223,1000,141.478865
1078.763654,1000,141.920471
1055.796514,1000,142.868356
1056.367546,1000,143.31281
1086.417082,1000,144.267677
1116.810674,1000,144.716698
1058.322967,1000,145.676159
1133.577197,1000,146.128976
1064.200827,1000,147.087142
999.213323,1000,147.532262
1059.408611,1000,148.492187
625.122979,1000,148.94049
1055.10776,1000,149.388417
972.628076,1000,150.344429
1097.90947,1000,150.797072
458.040238,1000,151.76146
1115.535815,1000,152.205926
1099.315823,1000,153.16095
1122.706475,1000,153.610752
1081.500298,1000,154.565573
1088.280894,1000,155.00697
1067.001377,1000,155.958064
856.790997,1000,156.402961
1093.761844,1000,157.362214
1048.957924,1000,157.806242
868.032908,1000,158.763059
1037.54152,1000,159.208956
1075.381958,1000,160.157315
951.636463,1000,160.603298
1096.97265,1000,161.561376
1155.154024,1000,162.008975
1128.481531,1000,162.968058
1107.328587,1000,163.413253
