# {"t_start": 1562776429.6830108, "env_id": "HalfCheetah-v2"} 
r,l,t
-61.324648,1000,1.045009
-129.393454,1000,1.46787
20.038297,1000,1.926368
-179.265407,1000,2.346187
-46.872015,1000,3.129295
-192.997566,1000,3.548958
53.896784,1000,4.271777
-48.749417,1000,4.692209
25.903767,1000,5.41965
-8.900337,1000,5.829162
-7.039547,1000,6.550234
-6.796213,1000,6.971203
86.697906,1000,7.697448
25.044378,1000,8.122381
61.041087,1000,8.853268
82.737924,1000,9.280707
-16.761297,1000,10.017228
72.50921,1000,10.446465
119.047076,1000,11.175995
0.272811,1000,11.600038
57.132453,1000,12.325971
72.438706,1000,12.746222
4.73488,1000,13.473727
71.17678,1000,13.882725
5.107381,1000,14.609446
136.627929,1000,15.024522
53.264673,1000,15.74731
58.263614,1000,16.170686
152.664211,1000,16.907529
149.144951,1000,17.326485
167.692456,1000,18.062754
33.818624,1000,18.491811
62.691598,1000,19.262194
63.516978,1000,19.684725
134.933557,1000,20.424964
66.268355,1000,20.843944
29.867752,1000,21.566563
158.885856,1000,21.982972
109.551808,1000,22.706604
102.855013,1000,23.123672
65.554566,1000,23.826615
92.63233,1000,24.252876
3.010608,1000,24.676523
97.35536,1000,25.408814
160.035441,1000,25.831153
218.86962,1000,26.554172
78.629324,1000,26.959747
194.987201,1000,27.674612
137.919604,1000,28.097983
183.111154,1000,28.81137
19.088615,1000,29.205557
260.486454,1000,29.92596
-6.985507,1000,30.349841
246.965075,1000,31.081694
207.658963,1000,31.50344
271.374022,1000,32.22832
233.261509,1000,32.650019
256.76244,1000,33.388209
305.17781,1000,33.813645
321.632113,1000,34.54378
297.866232,1000,34.970019
375.106194,1000,35.694794
361.19614,1000,36.114459
307.277114,1000,36.841477
350.123918,1000,37.267958
254.959635,1000,38.003076
404.086321,1000,38.432882
455.998267,1000,39.207409
489.668596,1000,39.629639
479.658615,1000,40.352682
495.725239,1000,40.747639
423.316353,1000,41.477627
354.355298,1000,41.899683
490.926536,1000,42.634108
504.972732,1000,43.056194
487.29366,1000,43.807039
364.538264,1000,44.234995
544.368002,1000,44.961884
541.962092,1000,45.381591
602.146347,1000,46.103975
540.845694,1000,46.524261
598.582126,1000,47.247362
659.652664,1000,47.652684
570.876741,1000,48.366316
680.168995,1000,48.771623
634.821158,1000,49.180796
623.404911,1000,49.908017
738.017524,1000,50.327159
702.039055,1000,51.050602
724.190005,1000,51.472073
747.319281,1000,52.197017
809.852048,1000,52.601238
786.182465,1000,53.338582
789.682759,1000,53.744079
772.628172,1000,54.47595
676.551493,1000,54.880373
761.756242,1000,55.59217
655.861107,1000,56.015557
747.873516,1000,56.748136
734.110872,1000,57.172752
832.76186,1000,57.901005
838.124835,1000,58.320492
761.33291,1000,59.046299
914.894935,1000,59.467055
858.978459,1000,60.196725
869.995443,1000,60.591811
910.81249,1000,61.302964
915.694596,1000,61.693617
918.113844,1000,62.409813
944.686067,1000,62.834042
923.08128,1000,63.560748
963.017444,1000,63.983474
927.747828,1000,64.710047
910.866205,1000,65.119769
991.033694,1000,65.839073
971.712943,1000,66.261662
927.785516,1000,66.990453
1008.476367,1000,67.386674
1026.927862,1000,68.107788
975.614367,1000,68.531181
620.381116,1000,69.261393
1048.374716,1000,69.682693
951.398951,1000,70.415237
1045.014434,1000,70.837197
995.730522,1000,71.551233
1103.920695,1000,71.968016
1011.310128,1000,72.686533
1108.824099,1000,73.106383
1150.259701,1000,73.500515
1107.127421,1000,74.229789
1030.12974,1000,74.630894
1018.754605,1000,75.36102
1044.424212,1000,75.784552
1199.658745,1000,76.509807
985.357347,1000,76.926966
1102.469571,1000,77.646277
1041.657205,1000,78.060872
941.513125,1000,78.793239
1179.818219,1000,79.218647
1167.823074,1000,79.9487
1198.46903,1000,80.374556
916.650572,1000,81.093778
1051.057895,1000,81.504992
1134.446539,1000,82.242339
1250.264179,1000,82.668243
870.916075,1000,83.403445
1206.74644,1000,83.82322
1148.006942,1000,84.545727
1104.596012,1000,84.961524
1227.504149,1000,85.743627
1226.178219,1000,86.165512
1136.155209,1000,86.89478
1018.424131,1000,87.316517
1166.892033,1000,88.05933
1246.88626,1000,88.483339
1195.106002,1000,89.223346
1121.054588,1000,89.6315
1160.288311,1000,90.34724
1237.938348,1000,90.750803
1141.139195,1000,91.481103
1282.652539,1000,91.907314
1156.621764,1000,92.637803
1126.037973,1000,93.058676
1300.528907,1000,93.784118
1214.904862,1000,94.211738
1209.673958,1000,94.949051
