# {"t_start": 1562915069.6573045, "env_id": "HalfCheetah-v2"} 
r,l,t
-90.195628,1000,2.093656
-0.100423,1000,2.55155
-210.386111,1000,3.581707
-153.039814,1000,4.063829
-18.890011,1000,4.863061
49.568967,1000,5.329722
-73.917193,1000,6.129369
111.30146,1000,6.608633
-136.06561,1000,7.408358
-192.791834,1000,7.882731
24.398687,1000,8.686324
-33.590557,1000,9.15572
-63.070323,1000,9.941658
-73.90125,1000,10.399715
293.899134,1000,11.184616
119.351898,1000,11.649497
66.356872,1000,12.430619
-192.872979,1000,12.897006
-156.767322,1000,13.731003
-33.747237,1000,14.207906
4.651822,1000,15.008963
-22.385463,1000,15.477758
-98.24147,1000,16.282345
-71.726699,1000,16.750745
-64.782899,1000,17.556705
-7.629866,1000,18.030697
-15.590925,1000,18.847317
51.417465,1000,19.325256
17.089952,1000,20.147275
26.954018,1000,20.622793
7.792769,1000,21.408111
16.209468,1000,21.866884
134.387677,1000,22.647447
46.698967,1000,23.115398
92.54209,1000,23.904027
17.35893,1000,24.369197
145.123014,1000,25.16178
64.791284,1000,25.637179
20.415581,1000,26.422423
-13.464056,1000,26.878253
3.15046,1000,27.646445
42.06829,1000,28.115365
127.170525,1000,28.588025
-61.646548,1000,29.380395
58.66645,1000,29.850939
44.712709,1000,30.652087
29.043939,1000,31.121021
0.905038,1000,31.906265
16.108696,1000,32.378671
26.074005,1000,33.157597
65.743642,1000,33.623589
82.975777,1000,34.410784
90.516378,1000,34.882163
-13.575459,1000,35.689359
-74.599184,1000,36.163174
24.998856,1000,36.97075
55.43548,1000,37.446097
131.320567,1000,38.233943
70.686952,1000,38.709197
21.421728,1000,39.518996
22.493432,1000,39.999321
9.68899,1000,40.822742
66.700663,1000,41.297066
-190.554507,1000,42.097745
-87.741571,1000,42.574575
38.009267,1000,43.370249
120.893052,1000,43.843289
-47.578751,1000,44.649104
22.577388,1000,45.125946
34.628283,1000,45.945657
-70.109439,1000,46.424018
111.556741,1000,47.222847
79.762503,1000,47.699754
41.618645,1000,48.51591
23.953095,1000,48.985847
81.683093,1000,49.797303
-119.393751,1000,50.270103
34.721395,1000,51.069804
-29.007774,1000,51.54332
62.469888,1000,52.356337
172.981734,1000,52.833189
42.992489,1000,53.647123
84.061939,1000,54.121646
-15.296148,1000,54.927323
-59.453206,1000,55.406147
-38.741712,1000,55.884495
32.452581,1000,56.68368
105.644773,1000,57.166478
59.770036,1000,57.977589
119.628911,1000,58.455982
121.927718,1000,59.262769
138.438761,1000,59.733753
27.154417,1000,60.543967
56.535499,1000,61.024343
23.00276,1000,61.816621
2.068233,1000,62.292785
28.62745,1000,63.092324
60.152069,1000,63.565105
63.976485,1000,64.374562
69.089024,1000,64.851269
79.329653,1000,65.656177
80.246399,1000,66.122277
-31.502437,1000,66.925075
88.39346,1000,67.38941
4.043778,1000,68.180483
73.618948,1000,68.652615
62.430069,1000,69.432103
12.041088,1000,69.905424
91.69029,1000,70.696904
108.80379,1000,71.16798
87.680135,1000,71.969188
117.109185,1000,72.446867
110.600963,1000,73.250404
131.51728,1000,73.721562
152.42633,1000,74.512875
85.003492,1000,74.983905
66.232161,1000,75.75967
97.971882,1000,76.220817
75.738676,1000,77.011223
96.983805,1000,77.4902
65.199821,1000,78.278198
89.873962,1000,78.758112
111.158401,1000,79.552999
179.152238,1000,80.029163
86.710666,1000,80.829575
66.410785,1000,81.303466
74.870845,1000,82.10115
98.617281,1000,82.573054
77.556621,1000,83.04416
-23.505305,1000,83.841936
42.240415,1000,84.316675
65.091123,1000,85.108794
62.095056,1000,85.573476
172.038971,1000,86.358226
38.827073,1000,86.83112
115.280911,1000,87.611057
82.814837,1000,88.083334
75.142182,1000,88.888373
-18.492948,1000,89.360602
103.517133,1000,90.147427
70.453863,1000,90.618399
45.457341,1000,91.403768
178.854957,1000,91.873478
151.892951,1000,92.661048
94.124604,1000,93.136931
97.73718,1000,93.930715
69.480953,1000,94.412136
131.529334,1000,95.209892
117.716363,1000,95.684835
127.992135,1000,96.473585
131.656547,1000,96.945941
102.203786,1000,97.736915
81.827119,1000,98.210447
202.41926,1000,99.002164
99.369535,1000,99.479306
89.248911,1000,100.280641
83.502094,1000,100.759749
98.550336,1000,101.553843
188.089924,1000,102.027854
130.123654,1000,102.825603
86.104182,1000,103.298433
108.525909,1000,104.102505
122.420403,1000,104.572102
117.45629,1000,105.366345
103.837175,1000,105.84316
115.03598,1000,106.634222
126.220393,1000,107.106816
124.406278,1000,107.906267
59.254619,1000,108.389859
219.838094,1000,109.188046
132.339358,1000,109.669155
164.427606,1000,110.141502
163.05953,1000,110.934033
185.673787,1000,111.410142
40.839672,1000,112.210456
134.017064,1000,112.681539
30.307297,1000,113.484544
102.535118,1000,113.961178
96.277303,1000,114.769682
111.207499,1000,115.232953
162.437764,1000,116.037503
197.871139,1000,116.503278
67.200306,1000,117.303966
18.943928,1000,117.778521
141.916001,1000,118.601581
106.162563,1000,119.071313
135.439607,1000,119.871974
114.965623,1000,120.346402
106.188319,1000,121.163925
90.305943,1000,121.64313
127.56636,1000,122.449681
140.177234,1000,122.927042
155.06,1000,123.721121
158.836123,1000,124.201924
170.652737,1000,125.019728
165.68645,1000,125.499076
147.138925,1000,126.30102
51.370835,1000,126.76926
150.124727,1000,127.556158
60.646224,1000,128.029781
169.8915,1000,128.839928
206.479546,1000,129.31095
70.31199,1000,130.104696
178.685139,1000,130.580552
109.630761,1000,131.380433
172.363877,1000,131.858718
157.090593,1000,132.653051
145.00457,1000,133.121826
165.225488,1000,133.913798
132.451059,1000,134.389525
125.205679,1000,135.204248
160.637162,1000,135.678737
226.318408,1000,136.471638
209.680737,1000,136.947346
200.189842,1000,137.416871
220.139488,1000,138.207723
191.744945,1000,138.682768
153.168052,1000,139.468265
159.018567,1000,139.939356
62.941035,1000,140.737317
173.466189,1000,141.203065
218.274905,1000,141.989898
227.634543,1000,142.465217
153.359676,1000,143.270345
209.401725,1000,143.743218
193.242861,1000,144.562693
166.368597,1000,145.047267
217.49555,1000,145.857107
196.542052,1000,146.339566
244.142318,1000,147.150386
214.742698,1000,147.630992
215.102771,1000,148.436915
155.30531,1000,148.912446
223.394667,1000,149.703042
180.206971,1000,150.175694
143.284026,1000,150.966967
180.294452,1000,151.442268
208.384076,1000,152.23785
227.119041,1000,152.709427
198.999869,1000,153.516601
245.705778,1000,153.992507
185.777237,1000,154.810107
275.498261,1000,155.292043
261.323688,1000,156.088158
236.174747,1000,156.568244
215.600429,1000,157.387396
274.284415,1000,157.859323
266.889927,1000,158.638067
279.70841,1000,159.120754
253.96856,1000,159.930102
241.50242,1000,160.410395
247.654126,1000,161.213115
185.790082,1000,161.6882
187.586437,1000,162.469609
175.568922,1000,162.936383
232.597619,1000,163.403738
248.800907,1000,164.211462
240.82597,1000,164.677314
279.30255,1000,165.494947
245.804392,1000,165.962008
218.818793,1000,166.775192
301.373645,1000,167.254798
305.025757,1000,168.064811
279.4745,1000,168.550213
278.217856,1000,169.344695
313.782855,1000,169.828491
304.633297,1000,170.633673
313.185035,1000,171.116412
256.573017,1000,171.924674
257.499354,1000,172.406135
286.579885,1000,173.218132
234.494749,1000,173.694876
264.436962,1000,174.502933
264.233998,1000,174.982149
242.262663,1000,175.788606
215.934751,1000,176.263256
246.7615,1000,177.08649
301.183395,1000,177.561059
264.254456,1000,178.352717
310.368432,1000,178.819848
274.491868,1000,179.600619
285.165219,1000,180.074351
237.263171,1000,180.879297
268.762925,1000,181.348488
274.335711,1000,182.13561
315.428656,1000,182.611262
300.732598,1000,183.416563
275.129851,1000,183.896278
234.999291,1000,184.716952
355.712172,1000,185.194457
315.726263,1000,185.990946
314.780221,1000,186.472589
292.928418,1000,187.261774
275.596802,1000,187.72694
295.133503,1000,188.507987
294.961185,1000,188.97857
320.376542,1000,189.771399
292.331684,1000,190.2374
297.849803,1000,190.718692
332.907841,1000,191.508902
318.427702,1000,191.980845
362.325943,1000,192.768625
287.936526,1000,193.241013
307.876753,1000,194.019734
280.228157,1000,194.492531
306.719551,1000,195.278259
315.203513,1000,195.750124
327.91728,1000,196.53686
318.014223,1000,196.998356
300.542329,1000,197.781518
316.591971,1000,198.261339
325.485456,1000,199.070842
345.698512,1000,199.544244
349.099872,1000,200.3268
301.055125,1000,200.806846
328.028066,1000,201.617521
308.688493,1000,202.091735
319.238927,1000,202.887383
343.211285,1000,203.36885
389.5911,1000,204.15944
306.808259,1000,204.640174
319.647504,1000,205.44093
399.935372,1000,205.913798
325.913864,1000,206.718861
388.961248,1000,207.197656
318.853129,1000,207.997097
367.825117,1000,208.47095
334.264486,1000,209.280289
325.729753,1000,209.762036
362.945171,1000,210.555569
374.121133,1000,211.037306
307.543909,1000,211.836889
361.71134,1000,212.320386
314.943797,1000,213.125308
385.385082,1000,213.597338
358.059349,1000,214.386086
332.713342,1000,214.860109
365.387874,1000,215.656414
363.290696,1000,216.129948
321.564916,1000,216.933886
374.562628,1000,217.409697
398.791817,1000,217.885855
312.999188,1000,218.695557
364.444003,1000,219.174033
369.427988,1000,219.990464
387.029478,1000,220.474462
394.274241,1000,221.276545
417.054848,1000,221.750918
409.418152,1000,222.557347
363.286407,1000,223.027398
396.513054,1000,223.821425
414.562951,1000,224.29287
364.312033,1000,225.087142
413.19345,1000,225.562899
383.257911,1000,226.354926
410.798662,1000,226.821999
453.171253,1000,227.615881
433.629812,1000,228.08739
378.451631,1000,228.865917
443.337185,1000,229.333935
376.44031,1000,230.123354
385.660066,1000,230.592784
408.663018,1000,231.371994
386.801907,1000,231.849031
417.25842,1000,232.64405
406.225783,1000,233.124435
423.345424,1000,233.931492
403.548393,1000,234.408943
414.372062,1000,235.197799
443.694051,1000,235.669558
466.374479,1000,236.454614
434.727907,1000,236.936474
424.527215,1000,237.751423
454.188134,1000,238.232573
429.02184,1000,239.025691
441.183642,1000,239.498214
467.235139,1000,240.279458
446.751519,1000,240.754188
451.033904,1000,241.560211
406.547192,1000,242.035636
469.927562,1000,242.821933
467.328978,1000,243.299524
440.726721,1000,244.082293
450.744413,1000,244.561049
479.511876,1000,245.036656
460.550907,1000,245.837573
428.004479,1000,246.319512
501.935617,1000,247.13001
464.753711,1000,247.608387
442.990374,1000,248.397232
489.864402,1000,248.877698
491.347453,1000,249.660353
536.473779,1000,250.124415
483.127214,1000,250.900234
503.964026,1000,251.366767
513.198908,1000,252.16743
468.297301,1000,252.645881
510.273804,1000,253.432637
505.518444,1000,253.90731
499.73562,1000,254.696937
452.284937,1000,255.170439
454.147792,1000,255.965856
503.663091,1000,256.441241
509.015129,1000,257.237418
459.892818,1000,257.714349
551.095367,1000,258.526585
506.804997,1000,258.996901
480.977117,1000,259.80913
432.840665,1000,260.286201
506.621087,1000,261.099716
529.767665,1000,261.581574
569.806248,1000,262.360732
498.029504,1000,262.824481
507.693367,1000,263.597897
505.045428,1000,264.069237
535.89834,1000,264.859483
533.210907,1000,265.337617
553.817161,1000,266.135137
505.688682,1000,266.610091
516.102897,1000,267.40142
504.8647,1000,267.866533
542.971074,1000,268.647172
596.497016,1000,269.114273
520.435079,1000,269.896185
472.836633,1000,270.36133
522.58878,1000,271.138295
575.202147,1000,271.598295
594.914208,1000,272.066782
543.295944,1000,272.868511
552.092655,1000,273.340078
578.045451,1000,274.129493
534.22793,1000,274.612688
604.299346,1000,275.412506
611.995002,1000,275.891643
621.333769,1000,276.708441
590.380073,1000,277.186906
553.242876,1000,277.994717
608.324627,1000,278.47342
556.828906,1000,279.266899
624.33021,1000,279.741195
604.984964,1000,280.547605
579.105823,1000,281.027017
586.168269,1000,281.813724
628.946377,1000,282.282169
472.515015,1000,283.078948
631.688156,1000,283.553153
627.062092,1000,284.351889
612.702672,1000,284.830117
605.759934,1000,285.627183
563.923289,1000,286.099073
608.210282,1000,286.905755
628.59799,1000,287.372297
686.946473,1000,288.157262
597.373448,1000,288.631163
642.504823,1000,289.431174
584.514191,1000,289.905122
618.880928,1000,290.708949
651.080788,1000,291.18285
608.740391,1000,291.97734
660.363569,1000,292.454789
574.168217,1000,293.245702
596.031595,1000,293.717873
629.881045,1000,294.509888
647.305972,1000,294.99134
622.456076,1000,295.793463
590.417538,1000,296.264983
666.242582,1000,297.058668
639.891322,1000,297.540077
591.908968,1000,298.347752
684.88216,1000,298.821025
618.501296,1000,299.290703
682.109367,1000,300.100113
611.047805,1000,300.5732
643.563898,1000,301.356489
589.791119,1000,301.823062
716.727083,1000,302.610932
665.380915,1000,303.090152
630.441248,1000,303.877199
634.731676,1000,304.350014
687.706103,1000,305.148206
627.083709,1000,305.621771
712.957975,1000,306.421898
596.276828,1000,306.899426
652.318709,1000,307.684975
672.536182,1000,308.161237
648.441196,1000,308.964918
637.121842,1000,309.447303
618.613876,1000,310.239181
691.68123,1000,310.713024
665.04923,1000,311.513369
637.373283,1000,311.98717
705.934943,1000,312.778311
665.880179,1000,313.256527
655.206253,1000,314.059016
554.071663,1000,314.538785
716.24191,1000,315.346359
678.132443,1000,315.81723
666.742447,1000,316.609847
678.146823,1000,317.079601
740.358577,1000,317.86572
648.381918,1000,318.351396
682.009929,1000,319.154721
590.109964,1000,319.632037
642.037646,1000,320.440692
745.041596,1000,320.919655
704.974953,1000,321.712916
658.526894,1000,322.194675
695.808652,1000,322.990777
634.39085,1000,323.472766
705.603223,1000,324.277949
654.883812,1000,324.753917
616.616144,1000,325.227265
667.47345,1000,326.038369
681.538155,1000,326.513098
684.522023,1000,327.328708
704.825584,1000,327.798328
744.991455,1000,328.591424
701.056782,1000,329.071345
641.926116,1000,329.884368
706.845053,1000,330.35282
739.261921,1000,331.127175
625.910231,1000,331.606412
759.332341,1000,332.426723
700.850334,1000,332.904034
762.585679,1000,333.711835
672.513221,1000,334.190135
733.43707,1000,334.981026
695.627312,1000,335.456348
768.953653,1000,336.249512
676.009925,1000,336.732313
764.432271,1000,337.52158
766.407882,1000,337.999442
745.647151,1000,338.785955
823.630288,1000,339.257794
656.02059,1000,340.04778
828.523098,1000,340.51422
773.802605,1000,341.304089
710.330778,1000,341.782749
858.975442,1000,342.555812
724.706402,1000,343.028813
747.987394,1000,343.818427
780.20469,1000,344.284765
768.655818,1000,345.067511
641.012508,1000,345.54285
815.175891,1000,346.337491
753.839034,1000,346.801048
802.940914,1000,347.589147
777.617482,1000,348.060665
781.858487,1000,348.83744
770.819782,1000,349.307673
757.755399,1000,350.090784
840.983492,1000,350.56735
766.027428,1000,351.352684
792.262214,1000,351.822526
736.450587,1000,352.303429
909.669644,1000,353.094501
685.416358,1000,353.570895
732.215277,1000,354.37459
718.693924,1000,354.854427
803.839107,1000,355.653144
815.402972,1000,356.126901
819.957245,1000,356.933916
771.188327,1000,357.41153
752.794069,1000,358.22101
790.52363,1000,358.690337
762.737392,1000,359.478002
818.764979,1000,359.946765
806.454315,1000,360.72622
759.88024,1000,361.212974
745.158385,1000,362.032431
709.587744,1000,362.513622
717.94191,1000,363.339655
812.093188,1000,363.822811
772.283498,1000,364.628621
859.906639,1000,365.09941
816.827614,1000,365.905435
713.521437,1000,366.375411
781.203722,1000,367.158208
760.349826,1000,367.631737
