AverageReturn,Entropy,EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SilSamples,TimeElapsed,TimestepsSoFar,entloss,ev_tdlam_before,meankl,optimgain,surrgain
-110.08459,8.509364,1000.0,-110.08459,2,2,144.0,1.4022674560546875,2000,0.0,0.001207888126373291,0.007819001,0.0347533,0.0347533
-70.56618,8.498931,1000.0,-70.56618,2,4,248.0,2.5242438316345215,4000,0.0,0.06924617290496826,0.007765934,0.033860594,0.033860594
-68.67753,8.515468,1000.0,-68.67753,2,6,243.0,3.6612966060638428,6000,0.0,0.06572633981704712,0.0076998267,0.0367203,0.0367203
-47.404762,8.4794655,1000.0,-47.404762,2,8,237.0,4.779326677322388,8000,0.0,0.1261051893234253,0.0074941656,0.043021914,0.043021914
-41.238903,8.481956,1000.0,-41.238903,2,10,230.0,5.913708209991455,10000,0.0,0.32375192642211914,0.007366873,0.040928356,0.040928356
-16.922697,8.508897,1000.0,-16.922697,2,12,258.0,7.081664085388184,12000,0.0,0.2817075252532959,0.0066639977,0.034303293,0.034303293
-18.82804,8.4841585,1000.0,-18.82804,2,14,292.0,8.238319635391235,14000,0.0,0.15646111965179443,0.006884883,0.036716845,0.036716845
-19.492132,8.476962,1000.0,-19.492132,2,16,286.0,9.401654958724976,16000,0.0,0.2771245241165161,0.0065637324,0.03850438,0.03850438
-16.488096,8.441658,1000.0,-16.488096,2,18,285.0,10.57036566734314,18000,0.0,0.3258569836616516,0.0067347595,0.03603474,0.03603474
-14.671382,8.423583,1000.0,-14.671382,2,20,247.0,11.680699110031128,20000,0.0,0.3469926118850708,0.0068664737,0.039150767,0.039150767
-10.209162,8.433816,1000.0,-10.209162,2,22,241.0,12.825592279434204,22000,0.0,0.5486008822917938,0.006480432,0.036069654,0.036069654
-10.948722,8.4438715,1000.0,-10.948722,2,24,311.0,13.96228551864624,24000,0.0,0.40701407194137573,0.006991543,0.043182626,0.043182626
-10.708943,8.450331,1000.0,-10.708943,2,26,315.0,15.119564294815063,26000,0.0,0.43621307611465454,0.0069205537,0.041764952,0.041764952
-11.347159,8.4777775,1000.0,-11.347159,2,28,287.0,16.264091730117798,28000,0.0,0.36571943759918213,0.0072134417,0.043443598,0.043443598
-8.933684,8.462156,1000.0,-8.933684,2,30,262.0,17.41098690032959,30000,0.0,0.6415088176727295,0.0065379264,0.041059785,0.041059785
-8.429725,8.466791,1000.0,-8.429725,2,32,280.0,18.54849863052368,32000,0.0,0.5570859014987946,0.006478632,0.03997951,0.03997951
-2.3237836,8.45385,1000.0,-2.3237836,2,34,237.0,19.674902200698853,34000,0.0,0.7225444912910461,0.0064914413,0.041609205,0.041609205
0.04415904,8.423612,1000.0,0.04415904,2,36,239.0,20.834748029708862,36000,0.0,0.4594930410385132,0.0063788695,0.04112595,0.04112595
3.310636,8.413458,1000.0,3.310636,2,38,251.0,21.97405767440796,38000,0.0,0.4600195288658142,0.006821857,0.046427064,0.046427064
4.101979,8.3925495,1000.0,4.101979,2,40,214.0,23.1125750541687,40000,0.0,-0.35728347301483154,0.0062969592,0.04331444,0.04331444
11.600728,8.3913555,1000.0,11.600728,3,43,254.0,24.276605129241943,43000,0.0,0.4198496341705322,0.0070868097,0.041294143,0.041294143
18.698866,8.386743,1000.0,18.698866,2,45,215.0,25.41801905632019,45000,0.0,0.6067247092723846,0.0066531813,0.04157242,0.04157242
21.511753,8.371188,1000.0,21.511753,2,47,210.0,26.543231964111328,47000,0.0,0.6528063416481018,0.006511486,0.04096874,0.04096874
27.198559,8.39273,1000.0,27.198559,2,49,202.0,27.66048765182495,49000,0.0,0.44787609577178955,0.0064473194,0.045441378,0.045441378
21.824703,8.417103,1000.0,21.824703,2,51,240.0,28.8071870803833,51000,0.0,0.26315510272979736,0.0067405403,0.044553183,0.044553183
24.214321,8.399176,1000.0,24.214321,2,53,222.0,29.942429304122925,53000,0.0,0.44855165481567383,0.005952199,0.04213063,0.04213063
29.75459,8.410185,1000.0,29.75459,2,55,221.0,31.080538511276245,55000,0.0,0.5047199428081512,0.0058615953,0.040857963,0.040857963
33.883053,8.411134,1000.0,33.883053,2,57,242.0,32.22407674789429,57000,0.0,0.10380470752716064,0.0055566086,0.04191699,0.04191699
34.969383,8.4302845,1000.0,34.969383,2,59,174.0,33.36400246620178,59000,0.0,0.06297886371612549,0.0067242123,0.04688787,0.04688787
39.285484,8.41613,1000.0,39.285484,2,61,196.0,34.51302123069763,61000,0.0,0.4808223843574524,0.005993056,0.040740516,0.040740516
39.824383,8.419833,1000.0,39.824383,2,63,205.0,35.637802839279175,63000,0.0,0.4486823081970215,0.0054978225,0.04135812,0.04135812
46.409637,8.410646,1000.0,46.409637,2,65,194.0,36.79330372810364,65000,0.0,0.3559808135032654,0.0062025706,0.041020855,0.041020855
52.591625,8.41162,1000.0,52.591625,2,67,193.0,37.927539348602295,67000,0.0,0.2851121425628662,0.0061005005,0.04501411,0.04501411
58.770683,8.387823,1000.0,58.770683,2,69,155.0,39.042086124420166,69000,0.0,0.5353429019451141,0.006071193,0.047226682,0.047226682
61.74513,8.375705,1000.0,61.74513,2,71,179.0,40.18092656135559,71000,0.0,0.22750097513198853,0.005823412,0.04251917,0.04251917
62.81814,8.365018,1000.0,62.81814,2,73,209.0,41.32266354560852,73000,0.0,0.36571401357650757,0.006016978,0.04685821,0.04685821
63.875916,8.353521,1000.0,63.875916,2,75,192.0,42.45747184753418,75000,0.0,0.4291369915008545,0.005991784,0.043621298,0.043621298
67.39946,8.330701,1000.0,67.39946,2,77,248.0,43.59124827384949,77000,0.0,0.271842896938324,0.005861995,0.044494025,0.044494025
66.7641,8.330412,1000.0,66.7641,2,79,213.0,44.722684383392334,79000,0.0,0.4900590181350708,0.005872761,0.046952993,0.046952993
72.91689,8.379416,1000.0,72.91689,2,81,205.0,45.83951210975647,81000,0.0,0.3584710359573364,0.005861945,0.045612868,0.045612868
83.854454,8.378912,1000.0,83.854454,2,83,205.0,46.96524477005005,83000,0.0,0.31678199768066406,0.006226475,0.050060116,0.050060116
91.22423,8.369901,1000.0,91.22423,3,86,204.0,48.09613108634949,86000,0.0,0.38471585512161255,0.0060240543,0.050774224,0.050774224
90.25569,8.368918,1000.0,90.25569,2,88,185.0,49.22164440155029,88000,0.0,0.47718799114227295,0.0056758113,0.051786948,0.051786948
102.09803,8.407958,1000.0,102.09803,2,90,218.0,50.342416524887085,90000,0.0,0.5618899464607239,0.00604332,0.04837556,0.04837556
107.54983,8.412488,1000.0,107.54983,2,92,213.0,51.471545457839966,92000,0.0,0.15717172622680664,0.0054786177,0.043604113,0.043604113
108.53218,8.429903,1000.0,108.53218,2,94,232.0,52.633212089538574,94000,0.0,0.4882398247718811,0.0064212047,0.04656248,0.04656248
113.34646,8.436255,1000.0,113.34646,2,96,214.0,53.79735231399536,96000,0.0,0.5631373524665833,0.0057287,0.048841503,0.048841503
122.95497,8.446643,1000.0,122.95497,2,98,255.0,54.9419002532959,98000,0.0,0.27424824237823486,0.006000494,0.047726996,0.047726996
126.667336,8.452241,1000.0,126.667336,2,100,252.0,56.07344627380371,100000,0.0,0.412341833114624,0.0059359046,0.046612922,0.046612922
128.93913,8.433377,1000.0,128.93913,2,102,240.0,57.21284055709839,102000,0.0,0.735502690076828,0.0057557207,0.046997637,0.046997637
134.48267,8.438871,1000.0,134.48267,2,104,223.0,58.3736777305603,104000,0.0,0.48668891191482544,0.0061110575,0.04716051,0.04716051
137.0116,8.408786,1000.0,137.0116,2,106,272.0,59.51329827308655,106000,0.0,0.7732678800821304,0.0060563115,0.047351696,0.047351696
143.64993,8.403227,1000.0,143.64993,2,108,209.0,60.65543460845947,108000,0.0,0.6260041296482086,0.0061620204,0.049555216,0.049555216
144.66716,8.40689,1000.0,144.66716,2,110,232.0,61.79058527946472,110000,0.0,0.6139421761035919,0.0055447156,0.047354482,0.047354482
148.50725,8.417482,1000.0,148.50725,2,112,253.0,62.95456147193909,112000,0.0,0.6284786462783813,0.0055311453,0.050287344,0.050287344
156.75179,8.404406,1000.0,156.75179,2,114,189.0,64.09023547172546,114000,0.0,0.6738765239715576,0.0061067557,0.05236827,0.05236827
159.29276,8.408807,1000.0,159.29276,2,116,168.0,65.23978161811829,116000,0.0,0.769070953130722,0.0059838053,0.053727277,0.053727277
165.43408,8.398323,1000.0,165.43408,2,118,247.0,66.3870005607605,118000,0.0,0.2439134120941162,0.0060292166,0.050242163,0.050242163
172.06293,8.405978,1000.0,172.06293,2,120,246.0,67.54587769508362,120000,0.0,-0.007576942443847656,0.0057441145,0.04887277,0.04887277
172.87216,8.40443,1000.0,172.87216,2,122,257.0,68.68147158622742,122000,0.0,0.5849157869815826,0.005606332,0.047676183,0.047676183
174.97781,8.394555,1000.0,174.97781,2,124,192.0,69.83694076538086,124000,0.0,0.6895591914653778,0.005878563,0.052913398,0.052913398
178.73734,8.401253,1000.0,178.73734,2,126,226.0,70.98187470436096,126000,0.0,0.4589844346046448,0.0062351837,0.05132929,0.05132929
186.1815,8.410393,1000.0,186.1815,3,129,227.0,72.13635540008545,129000,0.0,0.6262741088867188,0.005061289,0.049156856,0.049156856
185.34879,8.396003,1000.0,185.34879,2,131,230.0,73.28211545944214,131000,0.0,0.6145751476287842,0.0055377465,0.04923879,0.04923879
190.18958,8.358889,1000.0,190.18958,2,133,217.0,74.45044493675232,133000,0.0,0.6609991490840912,0.005504277,0.049010083,0.049010083
194.882,8.37815,1000.0,194.882,2,135,250.0,75.60564017295837,135000,0.0,0.40100157260894775,0.0052561043,0.050165966,0.050165966
196.68765,8.36252,1000.0,196.68765,2,137,216.0,76.77503442764282,137000,0.0,0.39563000202178955,0.006251982,0.05304206,0.05304206
203.71573,8.355981,1000.0,203.71573,2,139,215.0,77.9269666671753,139000,0.0,0.5742272734642029,0.005861784,0.05211378,0.05211378
206.31119,8.356561,1000.0,206.31119,2,141,180.0,79.06592106819153,141000,0.0,0.635697603225708,0.0059336377,0.0556098,0.0556098
207.56445,8.3439865,1000.0,207.56445,2,143,168.0,80.19753789901733,143000,0.0,0.4440743327140808,0.0058952295,0.054086428,0.054086428
211.4495,8.334832,1000.0,211.4495,2,145,218.0,81.35420107841492,145000,0.0,0.702599436044693,0.005911465,0.050545108,0.050545108
211.93295,8.34864,1000.0,211.93295,2,147,262.0,82.50926184654236,147000,0.0,0.5366862118244171,0.006398627,0.051251918,0.051251918
213.19348,8.331542,1000.0,213.19348,2,149,250.0,83.66419315338135,149000,0.0,0.6464294195175171,0.0059039337,0.053255893,0.053255893
218.37956,8.353273,1000.0,218.37956,2,151,206.0,84.82317757606506,151000,0.0,0.5973620116710663,0.005338745,0.0500679,0.0500679
217.68533,8.320895,1000.0,217.68533,2,153,226.0,85.94867897033691,153000,0.0,0.5194021463394165,0.006529044,0.05470286,0.05470286
220.10666,8.324552,1000.0,220.10666,2,155,246.0,87.0824511051178,155000,0.0,0.6152582466602325,0.0064739026,0.055543974,0.055543974
224.79683,8.312012,1000.0,224.79683,2,157,242.0,88.22282695770264,157000,0.0,0.5513800084590912,0.0053745806,0.05008559,0.05008559
229.31845,8.315059,1000.0,229.31845,2,159,236.0,89.36154675483704,159000,0.0,0.23833072185516357,0.0054870825,0.048973113,0.048973113
233.5438,8.315541,1000.0,233.5438,2,161,220.0,90.49730086326599,161000,0.0,0.448577344417572,0.0053122193,0.04726567,0.04726567
239.1937,8.336088,1000.0,239.1937,2,163,184.0,91.63275456428528,163000,0.0,0.5973477363586426,0.0053383606,0.0509262,0.0509262
241.30025,8.336799,1000.0,241.30025,2,165,247.0,92.77585244178772,165000,0.0,0.5300790369510651,0.0054518245,0.049334552,0.049334552
241.5614,8.335577,1000.0,241.5614,2,167,230.0,93.92254495620728,167000,0.0,0.6358112394809723,0.00610647,0.05414643,0.05414643
242.92451,8.327638,1000.0,242.92451,2,169,206.0,95.04895997047424,169000,0.0,0.7440269589424133,0.0055237114,0.05198603,0.05198603
