# {"t_start": 1562309280.864203, "env_id": "HalfCheetah-v2"} 
r,l,t
27.666437,1000,1.420485
-46.917696,1000,1.858311
-42.821137,1000,2.608576
-43.056396,1000,3.058928
-32.465378,1000,3.643747
-43.698538,1000,4.094312
-219.282876,1000,4.680326
-24.13832,1000,5.127507
-85.08858,1000,5.726085
-89.251411,1000,6.176641
26.301202,1000,6.750134
-91.522492,1000,7.191979
-160.207898,1000,7.770099
-48.185419,1000,8.213915
-22.474891,1000,8.797463
-20.345242,1000,9.248967
4.852498,1000,9.82217
-61.752527,1000,10.26504
39.108941,1000,10.828369
-81.009178,1000,11.267405
18.903501,1000,11.822369
-11.810728,1000,12.234307
-74.894682,1000,12.792341
-24.25183,1000,13.233802
33.85068,1000,13.801646
49.144652,1000,14.250847
49.440363,1000,14.837781
-66.585484,1000,15.294309
6.987895,1000,15.884737
24.691939,1000,16.338829
-28.685564,1000,16.921762
-50.10831,1000,17.376842
-29.950571,1000,17.954732
-39.574271,1000,18.406129
5.3854,1000,18.99736
146.7596,1000,19.412116
23.046156,1000,19.976476
39.26616,1000,20.419493
18.862804,1000,20.986944
84.283438,1000,21.420787
-36.535032,1000,21.989218
-22.860543,1000,22.404654
35.838845,1000,22.837712
-31.296064,1000,23.420771
16.04862,1000,23.87806
-28.249967,1000,24.473192
22.947116,1000,24.919648
43.299348,1000,25.500182
72.395034,1000,25.942962
-72.174311,1000,26.508166
107.864747,1000,26.951507
33.553365,1000,27.525162
43.10544,1000,27.973553
-54.495848,1000,28.540417
-80.083337,1000,28.985839
18.543073,1000,29.56087
61.215007,1000,30.014228
-19.426631,1000,30.605889
28.722058,1000,31.053447
66.984843,1000,31.641377
7.623844,1000,32.086345
0.705933,1000,32.66914
47.141065,1000,33.116711
20.290042,1000,33.69875
35.673927,1000,34.14578
69.602641,1000,34.729785
56.354596,1000,35.17747
78.826888,1000,35.749352
43.15276,1000,36.195351
134.870981,1000,36.781072
56.951664,1000,37.233557
97.823557,1000,37.814608
122.180965,1000,38.257689
38.456501,1000,38.838688
-0.005722,1000,39.287892
135.506085,1000,39.871428
39.76315,1000,40.31986
-8.507124,1000,40.89908
36.349372,1000,41.342994
40.353999,1000,41.929137
100.141498,1000,42.362447
85.449556,1000,42.933338
105.417384,1000,43.373986
113.757128,1000,43.948148
-73.817906,1000,44.401133
80.658357,1000,44.858633
125.720714,1000,45.444399
-25.046649,1000,45.892529
71.762889,1000,46.490435
1.571857,1000,46.93484
129.403844,1000,47.523838
98.083209,1000,47.961593
-97.230678,1000,48.532521
58.161082,1000,48.977985
50.231092,1000,49.544894
104.229745,1000,49.995931
44.617235,1000,50.583588
57.688403,1000,51.03329
49.45724,1000,51.614582
82.250744,1000,52.060982
64.823826,1000,52.628883
71.110571,1000,53.065523
56.058779,1000,53.634119
188.500374,1000,54.08104
142.496442,1000,54.661619
97.449128,1000,55.115856
26.397541,1000,55.695642
111.028518,1000,56.145714
159.512737,1000,56.727998
153.33799,1000,57.186337
66.149667,1000,57.767608
105.920378,1000,58.221442
163.006172,1000,58.800043
146.159281,1000,59.250917
92.629568,1000,59.828684
123.56602,1000,60.280501
98.848354,1000,60.855027
125.252848,1000,61.27734
132.470475,1000,61.858532
111.817088,1000,62.308108
117.258372,1000,62.867968
178.733483,1000,63.307434
151.279699,1000,63.879987
181.439711,1000,64.334664
154.180855,1000,64.919834
118.423723,1000,65.370674
183.690078,1000,65.967378
143.681271,1000,66.41642
253.183171,1000,66.864478
126.975836,1000,67.44631
