# {"t_start": 1562205874.8327239, "env_id": "HalfCheetah-v2"} 
r,l,t
-36.118048,1000,3.790673
-165.964455,1000,4.383417
42.66287,1000,6.911185
-57.167559,1000,7.505229
57.054866,1000,8.839974
149.819878,1000,9.488885
130.095926,1000,10.816216
0.64558,1000,11.410512
-140.212884,1000,12.774524
-13.871986,1000,13.368127
-64.341171,1000,14.68916
-86.545421,1000,15.28256
-83.558978,1000,16.633923
-164.610669,1000,17.227671
-14.177941,1000,18.560892
57.771381,1000,19.156116
15.395335,1000,20.514315
-8.256381,1000,21.109159
9.093814,1000,22.440101
-30.381052,1000,23.03623
78.892446,1000,24.352827
-24.893736,1000,24.952383
-9.590053,1000,26.296303
-24.359329,1000,26.916926
3.159399,1000,28.264735
25.163404,1000,28.864979
53.492478,1000,30.203804
-33.05748,1000,30.79879
41.262243,1000,32.162066
39.620608,1000,32.75779
24.430118,1000,34.095209
81.748144,1000,34.696306
25.095262,1000,36.033094
77.094819,1000,36.62747
43.647803,1000,37.954372
41.644372,1000,38.549024
23.090698,1000,39.857295
-33.898233,1000,40.452593
6.769017,1000,41.797718
102.36685,1000,42.397555
156.600411,1000,43.908973
-7.308924,1000,44.522852
-54.712371,1000,45.117907
92.385293,1000,46.504566
46.576577,1000,47.101066
100.660139,1000,48.453818
88.512291,1000,49.070075
86.772474,1000,50.450366
115.292032,1000,51.047871
67.746488,1000,52.396034
-35.04452,1000,52.990904
64.171549,1000,54.328997
56.388954,1000,54.929846
113.044898,1000,56.271987
56.067841,1000,56.881938
13.880457,1000,58.212494
92.46757,1000,58.814345
110.499229,1000,60.142337
39.095097,1000,60.744163
48.624605,1000,62.084442
38.778318,1000,62.686297
38.552054,1000,64.03092
128.066666,1000,64.647198
31.704603,1000,65.985307
46.144338,1000,66.582051
65.455002,1000,67.921557
119.110503,1000,68.521063
140.54228,1000,69.836276
117.512285,1000,70.431502
86.941654,1000,71.779348
128.1069,1000,72.386048
28.537846,1000,73.717099
77.211344,1000,74.311134
64.75398,1000,75.659244
95.325156,1000,76.255139
60.520025,1000,77.607728
73.967324,1000,78.220104
94.110224,1000,79.569034
119.276831,1000,80.168375
123.399256,1000,81.47762
114.61301,1000,82.078819
104.867825,1000,83.416848
173.330437,1000,84.014055
126.145741,1000,85.368291
174.071414,1000,85.969093
109.154412,1000,86.580545
80.679803,1000,87.952725
121.698319,1000,88.55339
152.601838,1000,89.8979
137.983724,1000,90.493202
152.729208,1000,91.803489
109.904935,1000,92.400594
121.774223,1000,93.775812
169.607178,1000,94.373719
162.393534,1000,95.69964
132.49943,1000,96.297905
138.307394,1000,97.630533
181.249134,1000,98.240274
142.37186,1000,99.579243
159.375243,1000,100.200136
196.283079,1000,101.509164
154.663137,1000,102.108597
165.866249,1000,103.459881
-66.816701,1000,104.056989
179.337036,1000,105.360409
136.327937,1000,105.960538
144.393234,1000,107.33149
162.823803,1000,107.93031
193.094464,1000,109.271999
155.282028,1000,109.899536
181.66991,1000,111.235588
161.47549,1000,111.86104
153.534028,1000,113.185113
189.677183,1000,113.785176
181.430369,1000,115.129384
12.578114,1000,115.724985
141.141035,1000,117.049467
239.124537,1000,117.644761
177.701994,1000,118.949531
222.39557,1000,119.545015
