AverageReturn,Entropy,EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SilSamples,TimeElapsed,TimestepsSoFar,entloss,ev_tdlam_before,meankl,optimgain,surrgain
-44.649696,8.478673,1000.0,-44.649696,2,2,205.0,3.042282819747925,2000,0.0,-0.007821917533874512,0.008903398,0.039701365,0.039701365
-42.56025,8.443853,1000.0,-42.56025,2,4,227.0,4.740060806274414,4000,0.0,0.10562741756439209,0.008947369,0.03903891,0.03903891
-18.162027,8.409063,1000.0,-18.162027,2,6,271.0,6.494513750076294,6000,0.0,0.21202361583709717,0.009005292,0.039024673,0.039024673
-31.83535,8.374151,1000.0,-31.83535,2,8,285.0,8.185163736343384,8000,0.0,0.12845879793167114,0.008936519,0.04171742,0.04171742
-27.84525,8.339228,1000.0,-27.84525,2,10,285.0,9.87713885307312,10000,0.0,0.14234930276870728,0.008899708,0.04222942,0.04222942
-51.31734,8.3044195,1000.0,-51.31734,2,12,307.0,11.558385848999023,12000,0.0,-0.06664144992828369,0.009029127,0.04174644,0.04174644
-49.42841,8.269537,1000.0,-49.42841,2,14,279.0,13.218138694763184,14000,0.0,0.22261035442352295,0.00907574,0.0431282,0.0431282
-48.163506,8.234618,1000.0,-48.163506,2,16,275.0,14.939050912857056,16000,0.0,0.17097753286361694,0.009063794,0.044992693,0.044992693
-47.75771,8.199825,1000.0,-47.75771,2,18,271.0,16.671056747436523,18000,0.0,0.18917220830917358,0.009204966,0.045088593,0.045088593
-53.787544,8.164921,1000.0,-53.787544,2,20,247.0,18.35170269012451,20000,0.0,0.27176398038864136,0.008991558,0.047977112,0.047977112
-47.649124,8.130135,1000.0,-47.649124,2,22,265.0,20.041958808898926,22000,0.0,-0.2558373212814331,0.008977222,0.04450736,0.04450736
-38.83674,8.095346,1000.0,-38.83674,2,24,251.0,21.750133991241455,24000,0.0,0.2393413782119751,0.009046927,0.044396877,0.044396877
-34.89412,8.060433,1000.0,-34.89412,2,26,257.0,23.41553282737732,26000,0.0,0.19724798202514648,0.00879246,0.04815499,0.04815499
