# {"t_start": 1562212775.4152179, "env_id": "HalfCheetah-v2"} 
r,l,t
-32.280964,1000,2.679572
-57.018422,1000,3.236877
68.596547,1000,5.103213
-91.492238,1000,5.661125
-59.848521,1000,6.68556
-142.744183,1000,7.251239
-59.937013,1000,8.234637
-77.937776,1000,8.789812
-7.408626,1000,9.815395
41.932237,1000,10.374385
-56.263703,1000,11.358401
115.128382,1000,11.915323
-82.682444,1000,12.914266
100.858923,1000,13.471919
-29.714649,1000,14.479706
-68.671197,1000,15.037359
72.568142,1000,16.039494
-12.78055,1000,16.598151
-19.650871,1000,17.580916
-53.520435,1000,18.140847
22.004921,1000,19.137417
14.044865,1000,19.696965
-9.948396,1000,20.682536
-11.656775,1000,21.241678
-62.249016,1000,22.211324
-42.62712,1000,22.771587
-27.61529,1000,23.760376
11.358922,1000,24.318766
17.745121,1000,25.298457
175.211561,1000,25.859678
11.433717,1000,26.851264
-22.224161,1000,27.419568
-98.99632,1000,28.438442
52.198753,1000,29.001308
-27.883473,1000,30.005275
31.745915,1000,30.566744
-114.589806,1000,31.561189
-13.493761,1000,32.120588
49.598585,1000,33.093762
-13.592447,1000,33.653895
34.121857,1000,34.635966
98.120506,1000,35.197756
34.284574,1000,35.762906
15.133862,1000,36.755808
79.812695,1000,37.319154
48.324845,1000,38.298078
72.070687,1000,38.857414
66.634082,1000,39.839969
14.648111,1000,40.400993
81.521932,1000,41.382087
116.957342,1000,41.940096
-74.956344,1000,42.936851
76.519289,1000,43.499498
86.293891,1000,44.468434
113.389998,1000,45.029279
37.030289,1000,46.017086
60.643275,1000,46.582375
194.810338,1000,47.575173
-37.915009,1000,48.143843
84.332788,1000,49.113534
86.6847,1000,49.671281
86.829119,1000,50.64173
132.476485,1000,51.204391
24.71196,1000,52.197149
116.693581,1000,52.754458
120.403824,1000,53.742403
86.3207,1000,54.300374
21.271393,1000,55.278862
99.407722,1000,55.836656
233.223042,1000,56.836067
12.461658,1000,57.39718
189.269421,1000,58.397314
77.426038,1000,58.955673
177.972137,1000,59.976229
130.418779,1000,60.535685
223.431803,1000,61.539002
235.88279,1000,62.097751
94.571493,1000,63.062079
208.634969,1000,63.628089
107.871677,1000,64.614487
258.427759,1000,65.176104
151.220694,1000,66.164169
182.935206,1000,66.727572
203.391145,1000,67.742941
158.981478,1000,68.308007
79.936341,1000,68.868511
