# {"t_start": 1562204325.16513, "env_id": "HalfCheetah-v2"} 
r,l,t
-67.71198,1000,1.665121
-56.017525,1000,2.232375
-30.905538,1000,2.878884
-8.86896,1000,3.441699
24.378454,1000,4.547271
6.476855,1000,5.161371
108.066007,1000,6.175326
5.521015,1000,6.741739
70.432844,1000,7.766635
-95.050376,1000,8.335186
54.328329,1000,9.356243
-30.136037,1000,9.920561
-35.444845,1000,10.957175
37.262266,1000,11.522555
-19.815809,1000,12.542367
-32.01896,1000,13.106104
2.784144,1000,14.131578
5.725913,1000,14.694943
9.881055,1000,15.716568
48.823568,1000,16.280642
-4.744475,1000,17.316456
-4.987266,1000,17.885524
15.988048,1000,18.92577
27.370125,1000,19.489897
-29.861586,1000,20.512168
144.645524,1000,21.075783
81.599277,1000,22.100698
86.814959,1000,22.664736
88.434222,1000,23.689763
30.940302,1000,24.253433
67.613406,1000,25.276427
57.744073,1000,25.838292
132.17914,1000,26.890821
76.472279,1000,27.46398
42.366283,1000,28.498483
149.874959,1000,29.095035
101.804326,1000,30.122535
125.282019,1000,30.689666
218.68733,1000,31.714603
158.275087,1000,32.277034
187.312589,1000,33.302616
214.562833,1000,33.86597
143.396953,1000,34.430759
101.497998,1000,35.455773
149.389054,1000,36.020098
187.657606,1000,37.039731
174.3208,1000,37.605496
199.600777,1000,38.62875
199.975448,1000,39.195743
229.358063,1000,40.216923
220.325401,1000,40.781054
167.211872,1000,41.804808
5.779608,1000,42.372872
267.554967,1000,43.397105
248.59077,1000,43.962672
187.462093,1000,44.987644
251.376777,1000,45.551442
238.113175,1000,46.577162
262.936,1000,47.141122
269.717371,1000,48.167828
240.681736,1000,48.736911
290.704538,1000,49.828622
317.112814,1000,50.394842
435.657527,1000,51.427013
447.387606,1000,51.990696
428.755542,1000,53.016017
411.91647,1000,53.582511
332.474795,1000,54.640015
464.794565,1000,55.206261
482.950272,1000,56.236182
390.116546,1000,56.800862
452.664426,1000,57.841208
471.138472,1000,58.408424
456.274031,1000,59.43937
504.75982,1000,60.006131
577.095765,1000,61.030288
555.485907,1000,61.59701
492.710009,1000,62.627292
595.502645,1000,63.192028
559.227274,1000,64.217931
582.872558,1000,64.780845
312.642864,1000,65.81409
593.788766,1000,66.379893
668.918087,1000,67.408372
673.249489,1000,67.97278
605.740058,1000,68.537561
637.974719,1000,69.563795
664.543891,1000,70.130584
562.750552,1000,71.158781
693.527231,1000,71.723109
680.482975,1000,72.750638
654.643204,1000,73.316333
737.560667,1000,74.350408
708.911646,1000,74.915454
768.978263,1000,75.945553
792.107269,1000,76.514078
697.915044,1000,77.546247
728.333732,1000,78.110759
829.552036,1000,79.143509
823.266456,1000,79.732014
796.999152,1000,80.757588
848.865866,1000,81.323683
794.590932,1000,82.354692
848.419681,1000,82.919348
852.838695,1000,83.951063
337.666895,1000,84.520407
479.129254,1000,85.557181
867.605294,1000,86.123271
938.193519,1000,87.150141
859.790082,1000,87.729459
890.965624,1000,88.774254
888.472787,1000,89.344287
860.436007,1000,90.378085
808.279269,1000,90.94404
892.303232,1000,91.973508
939.215534,1000,92.540269
979.059717,1000,93.60478
1060.746495,1000,94.169804
908.84154,1000,95.208295
1077.033519,1000,95.772839
964.199725,1000,96.805679
1011.448292,1000,97.370829
564.741869,1000,98.410638
584.927638,1000,98.981036
860.425261,1000,100.011032
1099.812051,1000,100.58504
1021.076442,1000,101.612228
1062.160091,1000,102.181368
931.612047,1000,102.75053
125.691284,1000,103.79326
1080.909609,1000,104.358634
1078.693614,1000,105.388578
37.492494,1000,105.961902
970.120062,1000,106.997661
1016.783613,1000,107.564504
1001.981356,1000,108.596848
1137.066894,1000,109.180207
1036.961303,1000,110.259664
1148.228368,1000,110.830174
1078.086208,1000,111.864924
1075.522857,1000,112.472594
874.139085,1000,113.505473
1046.311788,1000,114.071226
1139.79156,1000,115.127389
1116.689478,1000,115.694011
1095.972571,1000,116.724931
1099.556364,1000,117.294397
1128.588085,1000,118.333456
986.563328,1000,118.900593
1183.961092,1000,119.930352
1192.867598,1000,120.496862
1134.220902,1000,121.532937
1115.923647,1000,122.097644
1110.148834,1000,123.199184
5.66781,1000,123.776763
1019.826358,1000,124.812387
1116.996988,1000,125.377668
1196.285784,1000,126.407071
421.619564,1000,126.978867
1096.418185,1000,128.009647
1177.989408,1000,128.573251
1173.646961,1000,129.600345
1213.386013,1000,130.165025
449.57376,1000,131.202073
1155.029408,1000,131.767075
1116.150103,1000,132.799216
1123.978488,1000,133.363384
736.617831,1000,134.39553
1045.71739,1000,134.960397
