# {"t_start": 1562210214.928737, "env_id": "HalfCheetah-v2"} 
r,l,t
-62.109365,1000,1.229748
-29.512228,1000,1.762359
-4.806412,1000,2.343891
-124.201468,1000,2.870911
-10.372542,1000,3.877669
-9.377165,1000,4.418998
-68.2945,1000,5.395482
-1.387828,1000,5.928018
94.927095,1000,6.893288
65.859862,1000,7.424076
-53.670057,1000,8.405497
-50.568194,1000,8.937894
39.748469,1000,9.910146
-5.299043,1000,10.438857
56.944259,1000,11.400172
28.362754,1000,11.927823
-35.820064,1000,12.888094
18.87817,1000,13.417223
-37.672742,1000,14.391498
34.778559,1000,14.920673
-28.519956,1000,15.87888
29.323364,1000,16.408726
26.893349,1000,17.367361
-17.944698,1000,17.91102
33.334733,1000,18.873937
22.574501,1000,19.402594
-4.267323,1000,20.361511
30.064636,1000,20.893123
-19.488158,1000,21.854217
75.949874,1000,22.383192
5.96716,1000,23.345081
52.684059,1000,23.872873
49.368316,1000,24.834503
54.104255,1000,25.363255
24.834255,1000,26.323228
98.351086,1000,26.852057
116.341381,1000,27.811184
69.027788,1000,28.339314
133.309348,1000,29.302284
157.642268,1000,29.832959
129.260042,1000,30.793835
141.744258,1000,31.322326
156.620659,1000,31.851214
134.846499,1000,32.812983
191.265295,1000,33.339919
122.257803,1000,34.303273
165.615448,1000,34.832117
155.83664,1000,35.791325
190.675789,1000,36.319917
168.156138,1000,37.274545
169.692675,1000,37.806591
201.7812,1000,38.766925
178.203666,1000,39.29927
197.087264,1000,40.255059
71.04694,1000,40.784124
126.640144,1000,41.747935
230.048281,1000,42.27611
249.675837,1000,43.231251
219.845483,1000,43.762638
244.882876,1000,44.721264
278.36826,1000,45.249119
263.613724,1000,46.206233
286.42072,1000,46.737252
320.500605,1000,47.71261
310.477888,1000,48.243836
294.494388,1000,49.203471
370.691874,1000,49.734391
271.045896,1000,50.693448
382.414475,1000,51.221665
386.706005,1000,52.177768
369.871008,1000,52.704753
338.763339,1000,53.665546
434.936057,1000,54.198507
439.265583,1000,55.156723
389.001439,1000,55.686135
344.661884,1000,56.647205
459.029136,1000,57.176512
484.90534,1000,58.135158
535.754247,1000,58.665066
473.024614,1000,59.626993
590.882611,1000,60.153928
250.117148,1000,61.113769
565.114336,1000,61.643512
535.587787,1000,62.604056
646.549367,1000,63.132234
656.619877,1000,63.66218
657.422657,1000,64.620663
608.237864,1000,65.150732
658.463655,1000,66.108105
659.842161,1000,66.636944
724.612601,1000,67.596629
694.468512,1000,68.123764
468.795162,1000,69.08515
694.451272,1000,69.615592
782.126409,1000,70.576326
785.026205,1000,71.105371
755.286991,1000,72.063507
849.030997,1000,72.592981
770.715446,1000,73.550771
798.786082,1000,74.084209
832.061633,1000,75.047107
755.560872,1000,75.577915
898.812018,1000,76.541042
794.528223,1000,77.069615
849.574986,1000,78.051317
799.715688,1000,78.580014
860.184955,1000,79.539788
935.07745,1000,80.067091
914.246344,1000,81.030206
943.588437,1000,81.559072
963.771266,1000,82.521361
802.197335,1000,83.049895
969.473044,1000,84.008043
860.702162,1000,84.537147
1039.533742,1000,85.497812
934.928276,1000,86.025173
1027.339266,1000,86.985606
896.298404,1000,87.513995
959.524853,1000,88.473873
927.308436,1000,89.002189
1057.634248,1000,89.963036
1066.800236,1000,90.491441
993.607282,1000,91.453175
1094.077445,1000,91.980988
980.601372,1000,92.945406
1025.794062,1000,93.475397
1129.324186,1000,94.440839
1100.613369,1000,94.968768
1047.353029,1000,95.498312
1073.896934,1000,96.456281
1032.279358,1000,97.057596
1071.572803,1000,98.03581
1041.773526,1000,98.568821
1115.180899,1000,99.532543
1032.75248,1000,100.060803
1136.975198,1000,101.017763
1159.565883,1000,101.545665
1114.674978,1000,102.50347
1130.940439,1000,103.031431
1196.434497,1000,103.989339
1180.986073,1000,104.517214
1056.317265,1000,105.479514
1173.481485,1000,106.008828
1174.801434,1000,106.971129
1051.950501,1000,107.501764
1202.632544,1000,108.482848
1191.064813,1000,109.010319
1190.693644,1000,109.968833
942.472571,1000,110.499539
1210.276654,1000,111.456448
1183.821603,1000,111.984743
1178.141443,1000,112.962273
1214.181393,1000,113.492452
1197.143516,1000,114.453491
1242.542025,1000,114.98073
1242.328708,1000,115.937724
1238.738725,1000,116.465766
1327.751945,1000,117.426998
1245.895107,1000,117.965869
1193.560476,1000,118.924574
1265.536104,1000,119.452407
1275.703947,1000,120.410479
1269.811924,1000,120.940572
1369.820302,1000,121.903494
1315.844394,1000,122.430959
1230.803593,1000,123.390611
1240.422527,1000,123.922487
1246.800614,1000,124.883873
1223.752761,1000,125.415071
1368.270043,1000,126.373115
1286.216995,1000,126.899836
1287.508899,1000,127.428798
1224.33795,1000,128.387365
1264.672413,1000,128.915048
1291.355337,1000,129.879121
1372.798247,1000,130.408639
1335.790887,1000,131.365628
1265.050437,1000,131.893773
1325.026442,1000,132.852973
1281.485994,1000,133.379911
1354.308833,1000,134.350604
1410.444547,1000,134.880127
1371.526141,1000,135.834972
1252.116093,1000,136.363391
1321.705052,1000,137.329724
1255.117827,1000,137.862699
1290.178714,1000,138.825596
1306.725378,1000,139.352929
1220.455801,1000,140.311577
1327.288658,1000,140.841239
1325.282249,1000,141.800699
1348.883645,1000,142.328114
1354.003708,1000,143.285641
1374.920932,1000,143.814348
1202.521206,1000,144.779188
1458.073937,1000,145.306452
1295.731209,1000,146.263956
1230.049774,1000,146.79317
1371.179059,1000,147.75232
1384.93933,1000,148.280997
1164.314524,1000,149.244429
1289.654992,1000,149.772771
1401.584405,1000,150.731425
1278.3809,1000,151.258118
1419.917525,1000,152.216843
1400.896765,1000,152.744318
1367.576585,1000,153.699933
1300.941383,1000,154.234541
285.397084,1000,155.196191
1361.185769,1000,155.724911
1391.069746,1000,156.683319
1419.631052,1000,157.210606
1375.400084,1000,158.171056
1437.116248,1000,158.699594
1358.25024,1000,159.227739
1358.090804,1000,160.187437
1189.121225,1000,160.715664
1438.820666,1000,161.674298
1374.78393,1000,162.200928
1359.612186,1000,163.155782
1373.259093,1000,163.684813
1425.173726,1000,164.646149
1383.106267,1000,165.173575
1405.46221,1000,166.130594
1349.880618,1000,166.660385
1021.822685,1000,167.622683
1322.966358,1000,168.158841
1328.307062,1000,169.118944
-194.821106,1000,169.660587
1374.009618,1000,170.621978
1416.340291,1000,171.149779
456.815473,1000,172.114007
1063.112648,1000,172.64307
1348.314134,1000,173.60474
1387.798376,1000,174.136476
1412.315466,1000,175.095632
1343.16709,1000,175.623198
1426.595321,1000,176.584406
1334.966042,1000,177.113066
-176.129446,1000,178.088806
1374.05759,1000,178.618282
793.137482,1000,179.582809
1381.14481,1000,180.10993
1457.796802,1000,181.067354
-152.721322,1000,181.611364
1339.839239,1000,182.573058
1408.962263,1000,183.101211
1408.818977,1000,184.057434
1407.492205,1000,184.594442
1414.193058,1000,185.553836
-141.204895,1000,186.097071
1382.137309,1000,187.05657
1374.104006,1000,187.584841
1441.093779,1000,188.542281
1454.428963,1000,189.073193
1437.491311,1000,189.606613
1544.021365,1000,190.571023
1379.031841,1000,191.098028
1380.088849,1000,192.059026
-162.603103,1000,192.603171
1340.765205,1000,193.566512
676.138697,1000,194.104916
1412.225234,1000,195.069061
1369.547668,1000,195.59892
709.61714,1000,196.56582
1422.498219,1000,197.101033
1459.869012,1000,198.075053
1409.003736,1000,198.606477
1408.693869,1000,199.56278
1351.52748,1000,200.09152
1089.758535,1000,201.053978
1378.696774,1000,201.58431
632.815684,1000,202.548761
1361.300214,1000,203.077514
1377.017966,1000,204.089093
1323.424989,1000,204.618828
1491.879198,1000,205.579389
1278.6215,1000,206.108444
1404.973676,1000,207.070426
1510.345866,1000,207.60005
1509.303858,1000,208.563935
1445.86444,1000,209.099252
1453.108725,1000,210.065902
1522.303303,1000,210.594566
1401.475451,1000,211.558226
1437.775447,1000,212.088001
1422.211921,1000,213.050227
1298.707685,1000,213.578161
1495.832996,1000,214.544794
1480.609732,1000,215.073761
1373.125855,1000,216.042141
1466.050248,1000,216.574913
1345.886989,1000,217.532987
1400.402795,1000,218.060195
1459.44543,1000,219.018994
1321.063434,1000,219.549111
1257.811115,1000,220.508339
1408.22797,1000,221.038764
1473.651463,1000,221.5697
1498.681405,1000,222.531154
1484.784043,1000,223.059122
1457.07026,1000,224.019057
1494.081959,1000,224.553142
1515.097976,1000,225.511448
1466.188953,1000,226.042248
1481.775124,1000,227.001031
1461.108122,1000,227.529973
1429.623538,1000,228.53066
1424.470921,1000,229.059045
1468.301825,1000,230.01967
1563.505863,1000,230.549598
1498.991759,1000,231.509717
1187.150246,1000,232.039622
1364.208199,1000,232.996647
1506.449346,1000,233.526673
1482.619391,1000,234.491571
1516.807948,1000,235.021802
959.762041,1000,235.985705
1422.651267,1000,236.515246
1432.707869,1000,237.47299
1411.901855,1000,238.003866
1523.618524,1000,238.973239
1513.912975,1000,239.504485
1488.120053,1000,240.462499
1502.929089,1000,240.992013
1497.120684,1000,241.951846
1405.86477,1000,242.480062
1432.414027,1000,243.440731
1431.635404,1000,243.97121
1515.038683,1000,244.933843
1537.604302,1000,245.463859
1473.617127,1000,246.424431
1394.269616,1000,246.953448
1445.355236,1000,247.913615
1513.442901,1000,248.444942
1490.021961,1000,249.412915
1520.819255,1000,249.943361
1463.354878,1000,250.90594
1516.409713,1000,251.435319
1483.122358,1000,252.393131
1510.610145,1000,252.922484
1520.962184,1000,253.451803
1516.504381,1000,254.421754
1575.578905,1000,254.951324
1470.3146,1000,255.91478
1550.027747,1000,256.445168
1609.628518,1000,257.405436
1497.406504,1000,257.947702
1570.483049,1000,258.910215
1597.832411,1000,259.438887
1492.997928,1000,260.403386
1550.002804,1000,260.930553
1532.249965,1000,261.890571
1594.676043,1000,262.421568
1552.275986,1000,263.378326
1537.851519,1000,263.906824
1354.537382,1000,264.867992
1525.569301,1000,265.397781
1506.586763,1000,266.355886
