AverageReturn,MeanRew,SimRew-MeanRew,Time-MeanRew,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,sil_samples
5.3565584500000005,61.000603,-0.44102108,0.0011519240379333495,1000.0,5.3565584500000005,136,0.00902551,0.12578125,8.3173275,-0.024860134,6.7614985,0.27462881803512573,10,20480,46.308117788052186,20480,298.0
25.297544374999998,96.11706,0.8367559,0.0013113328933715821,1000.0,25.297544374999998,368,0.010893958,0.16123047,8.1728115,-0.027445216,4.718268,0.25678640604019165,20,40960,119.60116954892874,40960,328.0
95.297030725,249.30562,2.820118,0.001251386022567749,1000.0,95.297030725,423,0.01192408,0.18515626,7.7865486,-0.034774844,9.478491,0.25980502367019653,30,61440,207.25188090000302,61440,363.0
211.78646707499996,398.34784,6.211148,0.0013418571472167968,1000.0,211.78646707499996,410,0.011221704,0.16655274,7.4243355,-0.03383382,19.341408,0.294488787651062,40,81920,301.6779003839474,81920,414.0
353.834990575,523.01044,9.752461,0.0013357442378997802,1000.0,353.834990575,427,0.013012889,0.18496093,7.098417,-0.038091578,25.671438,0.3057206869125366,50,102400,412.3571451220196,102400,471.0
521.002577625,744.52136,14.8061285,0.0012279286861419678,1000.0,521.002577625,461,0.014716089,0.21835938,6.5861588,-0.0376955,52.574867,0.39138948917388916,60,122880,532.6216369229369,122880,481.0
714.479316475,905.6439,20.857859,0.0012816617488861084,1000.0,714.479316475,405,0.01500534,0.2109375,6.140151,-0.03241562,76.68081,0.3684627413749695,70,143360,649.7233700000215,143360,489.0
800.0091823,1005.77277,27.297419,0.0014688968181610106,1000.0,800.0091823,406,0.015055461,0.19658203,5.8539457,-0.033372995,86.32124,0.4871971011161804,80,163840,769.0850736410357,163840,474.0
904.165785725,1088.7684,34.77038,0.0014852532386779786,1000.0,904.165785725,395,0.0141998995,0.1996582,5.5833373,-0.030623516,91.80147,0.5440865755081177,90,184320,889.4072261920664,184320,454.0
1045.0723561250002,1188.8857,41.39805,0.0011866518020629882,1000.0,1045.0723561250002,469,0.014793883,0.2112793,5.451996,-0.02983253,96.21753,0.5609606802463531,100,204800,1008.9266240641009,204800,474.0
1142.973508225,1256.841,48.35637,0.0010979010105133056,1000.0,1142.973508225,479,0.02175158,0.28173828,5.182584,-0.022284333,88.8048,0.538471907377243,110,225280,1122.0980853140354,225280,483.0
1187.2123197,1273.6688,56.698986,0.0013495380878448485,1000.0,1187.2123197,420,0.019731984,0.2532715,5.0313354,-0.01818386,78.07283,0.5463595688343048,120,245760,1236.5396360061131,245760,480.0
1218.5849236999998,1407.7996,63.010014,0.0011097620010375976,1000.0,1218.5849236999998,489,0.022300972,0.28442383,4.860735,-0.019072479,71.26305,0.6502733528614044,130,266240,1351.912635734072,266240,458.0
1281.596718625,1367.6263,72.605286,0.0014474197387695311,1000.0,1281.596718625,468,0.021627553,0.26044923,4.751829,-0.009539024,82.249275,0.7694281041622162,140,286720,1464.2207206010353,286720,455.0
1315.289014425,1183.2175,76.3207,0.0012580526351928711,1000.0,1315.289014425,480,0.02306233,0.2819336,4.6506104,-0.01758207,67.04318,0.5040374994277954,150,307200,1575.2209752961062,307200,453.0
1345.8934906749998,1414.324,89.24525,0.001361440086364746,1000.0,1345.8934906749998,402,0.024581164,0.2938965,4.463634,-0.016124869,58.517143,0.9286574348807335,160,327680,1689.4814349969383,327680,461.0
1383.422814325,1487.4474,95.66696,0.0012666103363037108,1000.0,1383.422814325,456,0.035832446,0.3680664,4.3860407,-0.01447992,59.19411,0.5611540079116821,170,348160,1805.8895189699251,348160,455.0
1423.59599055,1494.182,101.02885,0.00133542423248291,1000.0,1423.59599055,426,0.018110368,0.21953125,4.34308,-0.02221895,71.27574,0.7008244693279266,180,368640,1921.5096867450047,368640,460.0
1420.9315915,1437.4392,106.66135,0.0013968321800231934,1000.0,1420.9315915,486,0.025230382,0.3013672,4.2116766,-0.021491222,42.319386,0.7342391610145569,190,389120,2037.6722196969204,389120,450.0
1437.635940675,1579.468,107.43848,0.001146778106689453,1000.0,1437.635940675,411,0.024771504,0.2828125,4.1311326,-0.01381281,33.524586,0.91899573802948,200,409600,2158.248682412086,409600,432.0
1437.322589625,1550.2931,112.45753,0.0013233930587768555,1000.0,1437.322589625,431,0.022277214,0.28295898,4.0544205,-0.018640023,26.619778,0.9586607664823532,210,430080,2275.6625248419587,430080,424.0
1455.222177125,1555.8517,117.97105,0.0013428482055664063,1000.0,1455.222177125,393,0.024724767,0.29873046,3.9414248,-0.014628102,23.778324,0.9466574899852276,220,450560,2395.5693886810914,450560,431.0
1463.8240978499998,1560.7614,121.37999,0.001247975778579712,1000.0,1463.8240978499998,430,0.036539037,0.37714845,3.7792141,-0.02206874,22.582764,0.9249190986156464,230,471040,2511.8122439971194,471040,424.0
1489.8214610999999,1602.2308,124.236176,0.0011237854480743408,1000.0,1489.8214610999999,559,0.02166975,0.27734375,3.644918,-0.016032461,23.275066,0.9780465327203274,240,491520,2629.0247881850228,491520,433.0
1604.885868325,1621.4534,128.1326,0.001256044101715088,1000.0,1604.885868325,432,0.03894157,0.38925782,3.5457394,-0.019200351,30.13023,0.8428162932395935,250,512000,2746.2739234599285,512000,448.0
1619.973909225,1641.7135,129.97203,0.0012438692092895508,1000.0,1619.973909225,496,0.044679116,0.3873535,3.5137722,-0.02278613,25.0854,0.8973045274615288,260,532480,2864.026881420985,532480,467.0
1626.321437075,1614.1958,133.45065,0.0014236962795257568,1000.0,1626.321437075,418,0.015046802,0.21083984,3.469946,-0.021119416,17.16418,0.9673819839954376,270,552960,2979.9204506711103,552960,443.0
1630.870688325,1621.674,134.9141,0.0014700818061828614,1000.0,1630.870688325,384,0.033564407,0.35795897,3.4806366,-0.017079746,13.730982,0.9650052711367607,280,573440,3094.6144938231446,573440,444.0
1641.9219027749998,1568.4574,137.86548,0.001185047197341919,1000.0,1641.9219027749998,447,0.015580965,0.21464844,3.427609,-0.017523319,22.751223,0.9338724464178085,290,593920,3209.519141444005,593920,435.0
1647.5057196499997,1665.1136,138.15317,0.0010936003684997558,1000.0,1647.5057196499997,459,0.024492372,0.25961915,3.3179011,-0.02633799,14.881746,0.9690914154052734,300,614400,3324.7097586710006,614400,433.0
1645.7473517500002,1646.0576,141.79547,0.0012266468048095704,1000.0,1645.7473517500002,427,0.021386454,0.27749023,3.1582856,-0.021520402,10.896276,0.9824962895363569,310,634880,3438.2805250810925,634880,438.0
1593.481052325,1683.9082,141.72354,0.0013919641494750978,1000.0,1593.481052325,411,0.019801931,0.25268555,3.0447981,-0.013899101,18.469936,0.9757829736918211,320,655360,3556.0959935979918,655360,420.0
1603.754443075,1702.2102,142.99625,0.0013339550018310548,1000.0,1603.754443075,419,0.025791977,0.3052246,2.9266858,-0.026719784,8.755341,0.9872698076069355,330,675840,3675.277831206098,675840,422.0
1690.5429824249998,1705.2871,145.47227,0.0011800214767456055,1000.0,1690.5429824249998,486,0.029560316,0.33691406,2.8151379,-0.021039099,9.0717325,0.9785588923841715,340,696320,3795.179170004092,696320,421.0
1710.4290139,1698.4551,149.14113,0.0013896336078643799,1000.0,1710.4290139,434,0.038173266,0.37661132,2.7274508,-0.018882688,8.375346,0.9894366450607777,350,716800,3911.2738794290926,716800,416.0
1718.4406632000002,1746.8916,148.51347,0.0012596659183502197,1000.0,1718.4406632000002,442,0.034405995,0.3597168,2.4801383,-0.017498668,18.052387,0.9472903348505497,360,737280,4032.031085089082,737280,412.0
1730.0149081249997,1639.7598,152.41307,0.0014750271797180177,1000.0,1730.0149081249997,436,0.031749155,0.33520508,2.4502988,-0.024834583,7.5118814,0.991842526011169,370,757760,4151.240240266081,757760,399.0
1695.07939525,1038.296,143.95966,0.0014326342582702636,1000.0,1695.07939525,404,0.029204149,0.3095215,2.3485746,-0.020359732,17.193949,0.9576146863400936,380,778240,4271.807730969042,778240,374.0
1650.577196875,1375.5262,152.15732,0.0011299846649169922,1000.0,1650.577196875,454,0.037615426,0.3458496,2.197139,-0.020185988,18.902344,0.9499816633760929,390,798720,4392.204936143011,798720,382.0
1716.7343730499997,1795.3457,155.54297,0.0011541097164154052,1000.0,1716.7343730499997,506,0.02972193,0.34243163,2.1415899,-0.022536958,6.684462,0.9917023479938507,400,819200,4506.721133469138,819200,375.0
1791.743378975,1782.8492,160.33022,0.0013292288303375244,1000.0,1791.743378975,448,0.023226226,0.28515625,1.9647396,-0.020018939,8.690096,0.9847977086901665,410,839680,4616.4757414180785,839680,387.0
1795.969818525,1792.4043,160.45857,0.0012915304183959962,1000.0,1795.969818525,374,0.025060708,0.2989258,2.0409856,-0.010177309,7.3551583,0.99105454236269,420,860160,4736.824401843129,860160,401.0
1790.791003525,1798.2966,161.67627,0.0012766156196594239,1000.0,1790.791003525,406,0.05217091,0.4413086,1.884505,-0.014643781,30.058695,0.9117795526981354,430,880640,4850.705294121057,880640,366.0
1798.7567456750003,1797.3851,163.93155,0.0010758314609527588,1000.0,1798.7567456750003,396,0.049558125,0.40893555,1.807592,-0.0061042234,14.720958,0.9695440530776978,440,901120,4968.599313220009,901120,329.0
1802.4383367000003,1800.6517,164.98398,0.001300422763824463,1000.0,1802.4383367000003,455,0.044814885,0.4145996,1.760668,-0.011133403,16.44683,0.9668735973536968,450,921600,5080.455693606986,921600,295.0
1798.9245565750002,1794.1937,166.45497,0.0013946599006652832,1000.0,1798.9245565750002,445,0.037823226,0.37666017,1.690238,-0.0176067,8.086916,0.9871748117730021,460,942080,5193.991856588982,942080,298.0
1814.018585575,1852.6527,163.41855,0.0013043514728546142,1000.0,1814.018585575,437,0.03915821,0.39033204,1.5807021,-0.020514907,5.4039307,0.9909062134101987,470,962560,5308.976124010049,962560,299.0
1835.329319,1856.9486,165.88356,0.001124387264251709,1000.0,1835.329319,455,0.03990923,0.38989258,1.5241266,-0.019264368,5.9582434,0.9896678868681192,480,983040,5428.534128707135,983040,310.0
