EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,MeanRew,SimRew-MeanRew,Time-MeanRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
1000.0,-15.203819,2,20,31.462215,-4.746041,0.0009301936149597168,60.61899495124817,20000,0.0,8.443854,0.2512577772140503,0.008843968,0.046634383,0.046634383
1000.0,4.722702,2,40,85.17312,5.6983213,0.0009450483798980713,137.84675788879395,40000,0.0,8.373289,0.18590885400772095,0.0091046365,0.05775129,0.05775129
1000.0,57.87923,2,61,102.4113,9.309879,0.0010856689929962158,218.92488408088684,61000,0.0,8.300781,0.3109108805656433,0.008831685,0.057808045,0.057808045
1000.0,114.022804,2,81,133.99077,11.724326,0.0010203641414642335,326.26931595802307,81000,0.0,8.229869,0.27725791931152344,0.008968209,0.06444505,0.06444505
1000.0,172.68999,2,102,220.80974,20.312885,0.0009994659423828126,426.8729522228241,102000,0.0,8.159149,0.5992846488952637,0.008758502,0.06417035,0.06417035
1000.0,212.91064,2,122,214.36703,21.268131,0.0009255300521850586,531.6734211444855,122000,0.0,8.088748,0.3822329044342041,0.0087814815,0.07194579,0.07194579
1000.0,254.73103,2,143,330.17285,24.425993,0.0010199189186096192,627.7653341293335,143000,0.0,8.01956,0.6489400267601013,0.009027968,0.07217239,0.07217239
1000.0,302.316,2,163,371.70627,30.400928,0.0010190932273864747,730.9781839847565,163000,0.0,7.949213,0.8943358808755875,0.0087946225,0.07507652,0.07507652
1000.0,345.34415,2,184,462.53067,31.587187,0.000965281343460083,838.5433249473572,184000,0.0,7.8787827,0.9029944539070129,0.0088236425,0.06647279,0.06647279
1000.0,408.93512,2,204,491.0038,42.162426,0.000935894250869751,928.8386790752411,204000,0.0,7.8083515,0.6857708692550659,0.0087491665,0.0695015,0.0695015
1000.0,489.31192,2,225,550.6611,47.285595,0.000973750114440918,1004.281004190445,225000,0.0,7.736968,0.7861163914203644,0.008801399,0.069998994,0.069998994
1000.0,540.6607,2,245,603.02014,50.955708,0.0009678280353546142,1079.491483926773,245000,0.0,7.666772,0.9213365539908409,0.009026738,0.071678996,0.071678996
1000.0,586.3405,2,266,596.7997,58.301174,0.0009857578277587891,1151.999766111374,266000,0.0,7.595679,0.7297653555870056,0.008970393,0.06257343,0.06257343
1000.0,606.95544,2,286,601.42523,50.908386,0.001018327522277832,1226.680759191513,286000,0.0,7.524994,0.8570472151041031,0.008825716,0.07010175,0.07010175
1000.0,630.0371,2,307,668.203,59.461243,0.0009635312557220459,1300.4267721176147,307000,0.0,7.454836,0.8828018233180046,0.008705653,0.07813133,0.07813133
1000.0,646.5646,2,327,668.0334,58.9795,0.0009274147033691406,1379.5493321418762,327000,0.0,7.3841486,0.9375209808349609,0.008787344,0.07010089,0.07010089
1000.0,663.22705,2,348,781.67255,57.9118,0.0009403910160064698,1454.349909067154,348000,0.0,7.3147054,0.897908940911293,0.008794963,0.07207659,0.07207659
1000.0,707.5221,2,368,741.43726,66.19584,0.0008882647514343262,1532.8123149871826,368000,0.0,7.2443852,0.8426242470741272,0.008903569,0.064475134,0.064475134
1000.0,732.25397,2,389,812.1387,70.039635,0.0008715425968170166,1612.9027180671692,389000,0.0,7.174344,0.8840473666787148,0.0088902395,0.07307035,0.07307035
1000.0,759.4714,2,409,743.2926,67.39176,0.0009035083293914795,1689.9415040016174,409000,0.0,7.104247,0.8916401714086533,0.008870138,0.06690703,0.06690703
1000.0,792.4291,2,430,861.6498,76.53238,0.0009615438938140869,1770.4013142585754,430000,0.0,7.0337176,0.8745085000991821,0.008808032,0.0671611,0.0671611
1000.0,803.52686,2,450,899.59863,78.42137,0.0009521650314331055,1844.8671729564667,450000,0.0,6.963163,0.920139767229557,0.008917777,0.071800455,0.071800455
1000.0,856.9533,3,471,887.9924,85.306175,0.0010280623912811279,1919.4544341564178,471000,0.0,6.8932223,0.9108952730894089,0.008743001,0.072029725,0.072029725
1000.0,876.4119,2,491,929.74207,81.97039,0.0010231433391571045,1992.3648550510406,491000,0.0,6.822598,0.8178714364767075,0.00879312,0.06259592,0.06259592
1000.0,896.80237,3,512,971.37537,85.92698,0.0009038814067840577,2067.4306361675262,512000,0.0,6.752598,0.9542731121182442,0.008903708,0.072989136,0.072989136
1000.0,956.4772,2,532,986.8942,89.483925,0.001005278730392456,2140.2568850517273,532000,0.0,6.6831064,0.9057366624474525,0.008855663,0.072596535,0.072596535
1000.0,990.6038,2,552,1000.5386,93.19996,0.0009787601470947266,2214.9019091129303,552000,0.0,6.6130004,0.9361038580536842,0.008847611,0.06437333,0.06437333
1000.0,990.5412,2,573,1024.8531,91.2634,0.0009802810192108154,2289.648782968521,573000,0.0,6.543738,0.8817771747708321,0.008773261,0.064482786,0.064482786
1000.0,1020.00995,2,593,1009.0394,101.13362,0.000963105821609497,2365.958426952362,593000,0.0,6.474084,0.9334870427846909,0.008895035,0.067037776,0.067037776
1000.0,1066.4496,2,614,940.5451,89.074104,0.0009348309993743897,2442.6106481552124,614000,0.0,6.404412,0.8831817507743835,0.00873424,0.064030804,0.064030804
1000.0,1057.0178,2,634,1102.0188,94.08091,0.0009915870666503907,2512.8607890605927,634000,0.0,6.334258,0.901763491332531,0.008848992,0.070587195,0.070587195
1000.0,1060.7727,2,655,1118.9368,97.730034,0.000917577600479126,2584.0401911735535,655000,0.0,6.265389,0.9173690527677536,0.008821614,0.07282866,0.07282866
1000.0,1087.7604,2,675,1092.8203,100.627075,0.0009302285671234131,2655.4684188365936,675000,0.0,6.195435,0.8724107593297958,0.0088979015,0.06879557,0.06879557
1000.0,1115.8748,2,696,1055.5623,98.55775,0.0008950707912445069,2724.561630010605,696000,0.0,6.125404,0.9291093274950981,0.008706829,0.075571775,0.075571775
1000.0,1123.8467,2,716,1161.8457,99.41322,0.0008726079463958741,2801.8324949741364,716000,0.0,6.056191,0.9234443232417107,0.008884402,0.06842574,0.06842574
1000.0,1125.0094,2,737,1169.5165,101.28537,0.0008640793323516846,2873.706663131714,737000,0.0,5.986124,0.9283326268196106,0.008761914,0.07232386,0.07232386
1000.0,1152.5823,2,757,1148.8491,108.05245,0.0009552903652191163,2942.396000146866,757000,0.0,5.91566,0.942638698965311,0.008819092,0.06531923,0.06531923
1000.0,1179.1129,2,778,1178.5388,111.23028,0.0008831441402435303,3011.2095608711243,778000,0.0,5.846324,0.9555046558380127,0.0088484865,0.06959747,0.06959747
1000.0,1199.9746,2,798,1205.5156,110.1011,0.0009643266201019287,3083.439884185791,798000,0.0,5.776377,0.937042273581028,0.008836592,0.06657322,0.06657322
1000.0,1212.779,2,819,1245.3519,111.57301,0.0009406516551971435,3152.565528869629,819000,0.0,5.7071204,0.9390597008168697,0.00874494,0.06577308,0.06577308
1000.0,1214.8844,2,839,1246.9435,114.99376,0.000948976469039917,3221.7866871356964,839000,0.0,5.6370444,0.8962068557739258,0.008800869,0.064903885,0.064903885
1000.0,1229.9144,2,860,1268.1157,115.35131,0.0009253283977508545,3289.248344898224,860000,0.0,5.568026,0.9379097111523151,0.008656111,0.068209186,0.068209186
1000.0,1265.2151,2,880,1292.7498,116.34197,0.0008561888217926025,3360.695680141449,880000,0.0,5.4987354,0.962484747171402,0.008800158,0.06469181,0.06469181
1000.0,1284.6038,2,901,1210.67,116.77342,0.000891542911529541,3433.4544200897217,901000,0.0,5.428867,0.8560996651649475,0.008913524,0.06488971,0.06488971
1000.0,1295.8909,2,921,1295.7507,120.25419,0.0009899067401885986,3503.949644088745,921000,0.0,5.359384,0.8871631398797035,0.008774963,0.059037507,0.059037507
1000.0,1308.1724,2,942,1322.9319,119.196976,0.0008325843334197998,3575.7990732192993,942000,0.0,5.2894316,0.9512687250971794,0.008882998,0.07926272,0.07926272
1000.0,1317.8643,2,962,1348.058,120.81075,0.0008592880249023438,3645.4702911376953,962000,0.0,5.219837,0.9461056515574455,0.008752647,0.065198205,0.065198205
1000.0,1335.6312,3,983,1368.8529,120.352936,0.0009345089435577392,3715.6800899505615,983000,0.0,5.1502657,0.9484092555940151,0.008696452,0.06382548,0.06382548
1000.0,1346.476,2,1003,1310.5564,121.910225,0.0009401967525482178,3789.12091088295,1003000,0.0,5.080763,0.955148845911026,0.0088800695,0.0592919,0.0592919
1000.0,1355.4954,3,1024,1367.2242,123.82973,0.0009225308418273926,3862.079185962677,1024000,0.0,5.0104127,0.9620956294238567,0.008782338,0.06891315,0.06891315
1000.0,1375.9414,2,1044,1371.3004,128.27629,0.0008931503295898437,3930.1538500785828,1044000,0.0,4.9412813,0.9684872888028622,0.008863217,0.065931566,0.065931566
1000.0,1402.7599,2,1064,1405.0027,129.29915,0.0009139866828918457,3998.0538120269775,1064000,0.0,4.8716297,0.961395625025034,0.008591693,0.06199394,0.06199394
1000.0,1424.3727,2,1085,1448.7672,126.896385,0.0009677188396453858,4070.6288561820984,1085000,0.0,4.8017197,0.920320451259613,0.008758875,0.061373204,0.061373204
1000.0,1399.9851,2,1105,1443.8143,129.734,0.000869027328491211,4143.852396249771,1105000,0.0,4.732531,0.9650396108627319,0.008812878,0.065391585,0.065391585
1000.0,1416.4016,2,1126,1443.6393,131.35463,0.0008568923473358154,4213.05920124054,1126000,0.0,4.662271,0.8687968403100967,0.0087478785,0.065048754,0.065048754
1000.0,1412.5691,2,1146,1440.9801,134.06432,0.0009427953720092773,4280.422332048416,1146000,0.0,4.5924044,0.9420123398303986,0.008773394,0.06152693,0.06152693
1000.0,1436.8733,2,1167,1436.7006,133.66084,0.0009021235942840576,4351.52646613121,1167000,0.0,4.5235605,0.9581900611519814,0.008982398,0.069398925,0.069398925
1000.0,1446.1895,2,1187,1459.1179,134.67012,0.000929627275466919,4420.758610963821,1187000,0.0,4.4542103,0.9630586393177509,0.009046297,0.06501652,0.06501652
1000.0,1467.1975,2,1208,1506.8916,132.06693,0.0008858458042144776,4490.035544157028,1208000,0.0,4.385567,0.9195690974593163,0.008856166,0.062067144,0.062067144
1000.0,1476.982,2,1228,1546.04,128.55107,0.0009180642604827881,4560.512701034546,1228000,0.0,4.3159633,0.9681569933891296,0.008840377,0.05674096,0.05674096
1000.0,1484.9119,2,1249,1484.5564,138.20456,0.0009126372814178467,4633.433146953583,1249000,0.0,4.2473817,0.9780715648084879,0.008709928,0.065933526,0.065933526
1000.0,1494.7754,2,1269,1540.3821,130.15211,0.0008766466617584228,4703.303787231445,1269000,0.0,4.1775656,0.7887491434812546,0.008914045,0.060004167,0.060004167
1000.0,1508.8821,2,1290,1552.2916,136.76515,0.0009685083866119385,4773.452636003494,1290000,0.0,4.108384,0.9784523788839579,0.008798039,0.061273888,0.061273888
1000.0,1525.4413,2,1310,1545.9863,137.19032,0.0008958886623382568,4843.010760068893,1310000,0.0,4.0392466,0.965340830385685,0.008897265,0.068646036,0.068646036
1000.0,1536.4176,2,1331,1570.8768,139.93869,0.0008822503566741943,4913.492471218109,1331000,0.0,3.970517,0.9098974466323853,0.008757649,0.061686046,0.061686046
1000.0,1550.6198,2,1351,1553.9797,143.49875,0.0009307014942169189,4983.291790962219,1351000,0.0,3.9006803,0.9703325629234314,0.00873846,0.066590324,0.066590324
1000.0,1551.5002,2,1372,1580.8777,138.66895,0.0009512179851531982,5054.563122034073,1372000,0.0,3.8325155,0.9661349430680275,0.008904233,0.0692572,0.0692572
1000.0,1538.0781,2,1392,1562.2845,143.3841,0.0009028742790222168,5125.080919265747,1392000,0.0,3.7634888,0.9767996557056904,0.008962888,0.06276518,0.06276518
1000.0,1562.5532,2,1413,1555.3942,146.29948,0.0009028818130493164,5194.819771051407,1413000,0.0,3.6942873,0.9731639735400677,0.008764099,0.05717963,0.05717963
1000.0,1575.7327,2,1433,1611.971,140.39183,0.0009893328189849854,5259.569315195084,1433000,0.0,3.6248608,0.9804435707628727,0.008768651,0.06252864,0.06252864
1000.0,1576.0837,2,1454,1622.056,143.4259,0.0009346138954162597,5325.583148241043,1454000,0.0,3.5552366,0.9709542375057936,0.008751322,0.06696989,0.06696989
1000.0,1597.5022,2,1474,1599.065,147.08432,0.0009517401695251465,5397.573686122894,1474000,0.0,3.4861286,0.9759059455245733,0.008765748,0.05922484,0.05922484
1000.0,1608.9939,3,1495,1643.1588,148.16826,0.0009480944156646728,5467.245864152908,1495000,0.0,3.416747,0.9439611993730068,0.008931351,0.057325043,0.057325043
1000.0,1611.7894,2,1515,1641.762,144.81496,0.0008891223430633545,5536.82644701004,1515000,0.0,3.3480654,0.9736187290400267,0.008861924,0.060963936,0.060963936
1000.0,1619.3889,3,1536,1598.5149,151.6108,0.0009184017181396484,5605.788618087769,1536000,0.0,3.279404,0.9543929696083069,0.0089200605,0.06690642,0.06690642
1000.0,1621.302,2,1556,1625.3751,151.25925,0.0009277505397796631,5675.749277114868,1556000,0.0,3.2103453,0.9786199424415827,0.008847911,0.07071076,0.07071076
1000.0,1622.3287,2,1576,1645.116,147.09135,0.000962350082397461,5747.256154060364,1576000,0.0,3.141556,0.9726016763597727,0.008798051,0.06143085,0.06143085
1000.0,1630.4847,2,1597,1636.761,150.27719,0.0009087428092956543,5820.528179168701,1597000,0.0,3.071716,0.9650936871767044,0.008799773,0.058162577,0.058162577
1000.0,1637.9672,2,1617,1616.4938,150.57672,0.0009133135318756103,5896.467580080032,1617000,0.0,3.0020294,0.9789628684520721,0.008790489,0.06403567,0.06403567
1000.0,1654.3682,2,1638,1653.7166,151.92317,0.0009603058338165284,5971.606255054474,1638000,0.0,2.9330447,0.9641990512609482,0.008842594,0.07146685,0.07146685
1000.0,1667.1843,2,1658,1671.555,150.02376,0.0009424380302429199,6046.428192138672,1658000,0.0,2.8636644,0.9576917551457882,0.008911168,0.05255188,0.05255188
1000.0,1664.7113,2,1679,1684.0178,151.05652,0.0008732250690460205,6119.882378101349,1679000,0.0,2.7951486,0.9655839651823044,0.008879384,0.07315993,0.07315993
1000.0,1670.1383,2,1699,1695.992,151.05688,0.000922206735610962,6190.81080198288,1699000,0.0,2.7268634,0.9368042349815369,0.008882167,0.05584223,0.05584223
1000.0,1670.4043,2,1720,1680.6511,153.5767,0.0009244170665740967,6259.936888933182,1720000,0.0,2.6573474,0.9530348926782608,0.008752746,0.057454675,0.057454675
1000.0,1671.778,2,1740,1674.2686,150.9103,0.0008756478309631348,6331.495668172836,1740000,0.0,2.5890734,0.9470278955996037,0.00874184,0.06079136,0.06079136
1000.0,1682.8096,2,1761,1690.3665,154.0055,0.0009542308807373047,6402.335490942001,1761000,0.0,2.5206726,0.9709572400897741,0.008860398,0.067614004,0.067614004
1000.0,1683.0891,2,1781,1686.9978,154.76932,0.0008657237529754639,6477.541758060455,1781000,0.0,2.4515615,0.9370078518986702,0.008689157,0.07515219,0.07515219
1000.0,1680.4633,2,1802,1642.5889,156.3793,0.0009616106033325196,6546.588186979294,1802000,0.0,2.3830936,0.9728255178779364,0.008793976,0.07251467,0.07251467
1000.0,1688.511,2,1822,1690.7266,155.76875,0.0009543304920196533,6613.922111034393,1822000,0.0,2.3142762,0.9604173563420773,0.008860754,0.059993926,0.059993926
1000.0,1696.6351,2,1843,1698.6406,155.32532,0.000887659215927124,6686.864993095398,1843000,0.0,2.2453964,0.978810153901577,0.008950343,0.058819115,0.058819115
1000.0,1701.325,2,1863,1693.3889,154.67607,0.0009552845478057861,6760.511476993561,1863000,0.0,2.1773896,0.9633878767490387,0.008838147,0.053824425,0.053824425
1000.0,1705.699,2,1884,1707.7152,154.61052,0.0009074567317962646,6829.027215003967,1884000,0.0,2.1085887,0.9872488239780068,0.008772419,0.06369161,0.06369161
1000.0,1708.3318,2,1904,1725.2869,151.94893,0.0009012217044830322,6904.535088062286,1904000,0.0,2.0403125,0.9586544707417488,0.008793704,0.057640605,0.057640605
1000.0,1716.5863,2,1925,1733.8943,154.14008,0.000889628553390503,6974.414296865463,1925000,0.0,1.9713364,0.9778372496366501,0.008819807,0.05602478,0.05602478
