EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,MeanRew,SilSamples,SimRew-MeanRew,Time-MeanRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
1000.0,-19.602917,2,20,-41.974003,430.0,-0.6596185,0.000894395112991333,45.27017879486084,20000,0.0,8.441535,0.2216694951057434,0.0065636486,0.036461912,0.036461912
1000.0,-9.114347,2,40,20.655079,354.0,2.4506884,0.0009467099666595459,98.04957914352417,40000,0.0,8.526389,0.5645705461502075,0.0063179843,0.039966546,0.039966546
1000.0,9.91526,2,61,27.816803,420.0,0.8230299,0.0009317969799041748,150.37323904037476,61000,0.0,8.44886,0.2683904767036438,0.0060087396,0.042689078,0.042689078
1000.0,34.366688,2,81,51.875427,377.0,5.9663315,0.0009481843471527099,209.0980839729309,81000,0.0,8.502349,0.3760320544242859,0.0056369277,0.041046567,0.041046567
1000.0,64.5366,2,102,81.22614,372.0,5.907614,0.0009246787071228028,267.3054778575897,102000,0.0,8.453858,0.610790342092514,0.005848583,0.047433298,0.047433298
1000.0,77.179955,2,122,91.95349,319.0,9.089181,0.0009518596172332764,324.01451086997986,122000,0.0,8.346834,0.5741488039493561,0.006011444,0.051393144,0.051393144
1000.0,92.352585,2,143,130.49321,337.0,11.408438,0.0009872980117797852,379.9852728843689,143000,0.0,8.310035,0.5424299240112305,0.005888921,0.055936534,0.055936534
1000.0,112.08168,2,163,97.09197,360.0,13.119951,0.0010149662971496581,438.63536500930786,163000,0.0,8.208119,0.6778484582901001,0.0064370306,0.060811076,0.060811076
1000.0,129.69016,2,184,178.32172,310.0,11.255122,0.0009261415481567383,495.7122540473938,184000,0.0,8.213621,0.7738887220621109,0.005982275,0.058688622,0.058688622
1000.0,152.02643,2,204,195.77026,380.0,13.140253,0.0009811594009399415,553.8200149536133,204000,0.0,8.166985,0.2687375545501709,0.0055397213,0.055322055,0.055322055
1000.0,183.01518,2,225,230.8656,213.0,20.316446,0.0009643173694610595,610.7462511062622,225000,0.0,8.076875,0.8478446453809738,0.00651071,0.058438778,0.058438778
1000.0,218.11423,2,245,266.63565,283.0,23.080206,0.0009479986667633056,666.5927050113678,245000,0.0,8.01297,0.7938446402549744,0.006323552,0.059271082,0.059271082
1000.0,262.55518,2,266,297.25174,286.0,27.86006,0.0009437101364135742,721.946123123169,266000,0.0,7.905396,0.7018666565418243,0.007256442,0.058901384,0.058901384
1000.0,297.40533,2,286,290.29395,355.0,32.093666,0.0009458348274230957,777.4989058971405,286000,0.0,7.8544846,0.8173331171274185,0.0072011813,0.06442201,0.06442201
1000.0,321.2813,2,307,353.75577,303.0,35.168686,0.0008985283374786377,831.7815220355988,307000,0.0,7.83325,0.8509324789047241,0.0074456115,0.06760712,0.06760712
1000.0,354.2311,2,327,415.39453,364.0,33.39144,0.0008864782810211182,884.951427936554,327000,0.0,7.786102,0.6284435987472534,0.0073842257,0.064954266,0.064954266
1000.0,387.59927,2,348,418.68793,321.0,39.659676,0.0008786431789398194,935.3222229480743,348000,0.0,7.662994,0.8785033822059631,0.008607963,0.07053402,0.07053402
1000.0,415.0143,2,368,441.3466,329.0,43.236362,0.0008675575256347657,986.8844559192657,368000,0.0,7.609227,0.8104351609945297,0.008187339,0.061943337,0.061943337
1000.0,443.9038,2,389,483.3795,351.0,42.925564,0.0009090995311737061,1037.6126658916473,389000,0.0,7.5489807,0.8619456142187119,0.008535413,0.06743513,0.06743513
1000.0,458.93906,2,409,492.4471,353.0,41.29414,0.0008635735034942627,1088.9155850410461,409000,0.0,7.484766,0.8387850075960159,0.008657623,0.06649274,0.06649274
